Method	Value
forc_0	0.8238369767684883
forc_1	1.3999112783125636
forc_2	1.3449680418461807
forc_3	1.4132756525742598
forc_4	1.4159902050658457
forc_5	1.4002439819132309
forc_6	1.330258195947533
forc_7	1.3030114086568962
forc_8	1.4012834679031478
forc_9	1.3240699596882453
forc_10	1.3761317378958855
forc_11	1.3812520799567103
forc_12	1.3781600364849789
forc_13	1.4445047225939007
forc_14	1.384104637953066
forc_15	1.3812071536465134
forc_16	1.3731092312383855
forc_17	1.3938310442313366
forc_18	1.3829506079979037
forc_19	1.3810412540496475
forc_20	1.333980547896174
forc_21	1.381746896529604
forc_22	1.3825079240291758
forc_23	1.3989111571596693
forc_24	1.3374385897217942
forc_25	1.3682646318613956
forc_26	1.4230262687719728
forc_27	1.4034573335531881
forc_28	1.3851218426368557
forc_29	1.338029122931449
forc_30	1.3944664228672647
forc_31	1.3967003177854995
forc_32	1.3711211411077338
forc_33	1.3761337323632203
forc_34	1.3955639206970296
forc_35	1.3766926183569672
forc_36	1.3387441120350383
forc_37	1.4072582815633432
forc_38	1.4392480024287877
forc_39	1.3930332285642044
forc_40	1.3941060953228492
forc_41	1.3776812257285438
forc_42	1.3925208731359557
forc_43	1.403169324537533
forc_44	1.3842386738832215
forc_45	1.3330699009159264
forc_46	1.3846809293811357
forc_47	1.3971615114944438
forc_48	1.381719999603372
forc_49	1.3906552707972746
forc_50	1.3779506217649866
forc_51	1.4130005219185533
forc_52	1.348076561460838
forc_53	1.3891093205996257
forc_54	1.3721853902682946
forc_55	1.3556057228202727
forc_56	1.4004016676838533
forc_57	1.3818826449211086
forc_58	1.3677704705598712
forc_59	1.4063695304680601
forc_60	1.3995937800670117
forc_61	1.3737831256504647
forc_62	1.432645840342587
forc_63	1.4063669397316498
forc_64	1.3756233793698251
forc_65	1.3913145510995208
forc_66	1.404497526331359
forc_67	1.4162998644001923
forc_68	1.3770566518649912
forc_69	1.4035646598150306
forc_70	1.3937781885872667
forc_71	1.3298893885177678
forc_72	1.337013216995507
forc_73	1.4056944208509186
forc_74	1.371406670286535
forc_75	1.3654993273717542
forc_76	1.4334989858390181
forc_77	1.3788777249836257
forc_78	1.4121425825972074
forc_79	1.4194281209747108
forc_80	1.3615910695052345
forc_81	1.3797368004623587
forc_82	1.391885864441467
forc_83	1.3877129518753515
forc_84	1.387676754377609
forc_85	1.3698425422219427
forc_86	1.3511132871284908
forc_87	1.4004700063494075
forc_88	1.3928505234049
forc_89	1.4367020853480919
forc_90	1.3780707317889944
forc_91	1.388305566270496
forc_92	1.3879554582291131
forc_93	1.3792471830835955
forc_94	1.3652549679107708
forc_95	1.3575770980479727
forc_96	1.3880931245365706
forc_97	1.3952502591015519
forc_98	1.3761985525135112
forc_99	1.3852572168875852
forc_100	1.3517675094481638
forc_101	1.395142517610854
forc_102	1.3809175425070788
forc_103	1.396139776040811
forc_104	1.4190192439801104
forc_105	1.3370638883637955
forc_106	1.3852525424811428
forc_107	1.357263707266026
forc_108	1.3871343285423647
forc_109	1.3493059358422488
forc_110	1.3669296071741321
forc_111	1.3492606440481794
forc_112	1.418834356908679
forc_113	1.424131838207243
forc_114	1.4032517929804877
forc_115	1.38679774932034
forc_116	1.3797605278643341
forc_117	1.371568199901571
forc_118	1.390874207427742
forc_119	1.3994525307212173
forc_120	1.3904124410657692
forc_121	1.3441640133236823
forc_122	1.482486451891991
forc_123	1.3745541682315523
forc_124	1.4070578822095237
forc_125	1.3400491244768822
forc_126	1.37919755692201
forc_127	1.3757068242708328
forc_128	1.4143381046401118
forc_129	1.3459720897894536
forc_130	1.360427335647331
forc_131	1.3716697800322113
forc_132	1.369972005575491
forc_133	1.3547502092601622
forc_134	1.381291184954944
forc_135	1.3828487858077643
forc_136	1.327948837308573
forc_137	1.4240868938557913
forc_138	1.3926002961441801
forc_139	1.3794622084221373
forc_140	1.3775474726805794
forc_141	1.3972621099630043
forc_142	1.39036645058666
forc_143	1.3811367450258245
forc_144	1.3713729315695673
forc_145	1.383254866241624
forc_146	1.3648718499844767
forc_147	1.40484531170662
forc_148	1.3725715768208062
forc_149	1.4464386765385617
forc_150	1.343177709043696
forc_151	1.4299790266923937
forc_152	1.3940867671316863
forc_153	1.3952430650185528
forc_154	1.3834093130912808
forc_155	1.398554609931925
forc_156	1.3794608970597453
forc_157	1.3905330699867147
forc_158	1.4002629159322855
forc_159	1.3609559824786006
forc_160	1.3500303580092248
forc_161	1.3723835721625457
forc_162	1.4034334437904423
forc_163	1.3870259683074544
forc_164	1.4021089547342465
forc_165	1.4004902919536057
forc_166	1.3962745847936129
forc_167	1.4195979383503683
forc_168	1.416860182131433
forc_169	1.3969351457560608
forc_170	1.3486234686021505
forc_171	1.3922954338395832
forc_172	1.3780849625232559
forc_173	1.419460157677071
forc_174	1.376357145708278
forc_175	1.3548310053571389
forc_176	1.3853231180993668
forc_177	1.3383605274362425
forc_178	1.3772023824335238
forc_179	1.3875562266396155
forc_180	1.424450595769568
forc_181	1.3797188687042687
forc_182	1.3775167247406592
forc_183	1.3874471724122415
forc_184	1.3845301875717466
forc_185	1.394844186713321
forc_186	1.389393569150192
forc_187	1.3860861540155511
forc_188	1.3981413569514567
forc_189	1.3490859212743602
forc_190	1.376034264851791
forc_191	1.403646114176462
forc_192	1.3514981881574006
forc_193	1.3536524372148016
forc_194	1.4403013555063886
forc_195	1.3995272764469089
forc_196	1.3692456641808455
forc_197	1.400809884507326
forc_198	1.3768163147270216
forc_199	1.4126009412583684
forc_200	1.376340689911982
forc_201	1.412795456523461
forc_202	1.3931315058142404
forc_203	1.3974412316438738
forc_204	1.3706528864210825
forc_205	1.401413610835519
forc_206	1.3927829336377635
forc_207	1.3779847776164666
forc_208	1.4502074738051383
forc_209	1.3883063629830996
forc_210	1.4079577025513363
forc_211	1.3888568950995699
forc_212	1.3343510558022054
forc_213	1.3430899944965278
forc_214	1.3916740065421784
forc_215	1.405062098343271
forc_216	1.3674570343056915
forc_217	1.4061385835660567
forc_218	1.3214792815914105
forc_219	1.3935279484881775
forc_220	1.3911270741801773
forc_221	1.3403250638776012
forc_222	1.396545857751821
forc_223	1.393136102850259
forc_224	1.4124328912713575
forc_225	1.3640150904263033
forc_226	1.4554046294987024
forc_227	1.3527575672662726
forc_228	1.3753749569986171
forc_229	1.383071243574511
forc_230	1.3689877998909457
forc_231	1.4266132239661
forc_232	1.3804427663931587
forc_233	1.3454734262259196
forc_234	1.3685630577023529
forc_235	1.4191279192445045
forc_236	1.419192282528976
forc_237	1.401407519939251
forc_238	1.362866262031406
forc_239	1.365213942797995
forc_240	1.3651764772865
forc_241	1.3732619368168415
forc_242	1.3399174866549528
forc_243	1.3810215816383045
forc_244	1.3975576547742732
forc_245	1.3682355422421397
forc_246	1.377756732211901
forc_247	1.4181224091030908
forc_248	1.3379164200301268
forc_249	1.381603283607588
forc_250	1.377643273195419
forc_251	1.364903783151615
forc_252	1.3637629936679037
forc_253	1.359264950747514
forc_254	1.402132329444693
forc_255	1.3981848045908327
forc_256	1.388798401631196
forc_257	1.3539248410266946
forc_258	1.3688902432974672
forc_259	1.3892616435757115
forc_260	1.3941070901213788
forc_261	1.3858252642258972
forc_262	1.401820868532638
forc_263	1.336219467229452
forc_264	1.378870186469356
forc_265	1.3959018363087812
forc_266	1.3452836828004517
forc_267	1.4026422663306268
forc_268	1.3726850583582866
forc_269	1.3968734928780688
forc_270	1.3752057117421
forc_271	1.447512182583893
forc_272	1.4095481011371456
forc_273	1.3862262301715262
forc_274	1.3657595836598322
forc_275	1.3379788243044732
forc_276	1.4011151021921628
forc_277	1.3646664242057855
forc_278	1.3667768120592403
forc_279	1.3471657557896375
forc_280	1.3651722565901334
forc_281	1.3285687891601043
forc_282	1.4094433590617852
forc_283	1.4324211742007351
forc_284	1.3223735106747636
forc_285	1.413193889307523
forc_286	1.3868253045546064
forc_287	1.410573386459713
forc_288	1.396236172545584
forc_289	1.339336583616471
forc_290	1.3472271433261933
forc_291	1.3794396282539048
forc_292	1.400704125866473
forc_293	1.352873773990018
forc_294	1.4352132519750638
forc_295	1.4250344967796198
forc_296	1.4457876537339303
forc_297	1.404352659124967
forc_298	1.4100784086316016
forc_299	1.4041849325393485
forc_300	1.3410419949255319
forc_301	1.4509548292383816
forc_302	1.3805102545638166
forc_303	1.3727812929008072
forc_304	1.3817870921858446
forc_305	1.3831462160494397
forc_306	1.3625192040602072
forc_307	1.3648378879820489
forc_308	1.3948369341151212
forc_309	1.3978229583750652
forc_310	1.3472843942812436
forc_311	1.3822140943929604
forc_312	1.3857519860033436
forc_313	1.3591091247185558
forc_314	1.3920239897858806
forc_315	1.403895110268646
forc_316	1.3833538893768436
forc_317	1.388157348949548
forc_318	1.3706183126899876
forc_319	1.380992159941908
forc_320	1.402455640661962
forc_321	1.3677607227994304
forc_322	1.3906058628995945
forc_323	1.3932562956410603
forc_324	1.3732357832253093
forc_325	1.411055092762716
forc_326	1.3595043296102527
forc_327	1.3680863576884035
forc_328	1.394261968826494
forc_329	1.4029600417389292
forc_330	1.3706398973754563
forc_331	1.3699954207795146
forc_332	1.4216796393960471
forc_333	1.381031120815134
forc_334	1.381938851584519
forc_335	1.4113108601337228
forc_336	1.3647171121548838
forc_337	1.3771108252463238
forc_338	1.3723725348829214
forc_339	1.3712344400736902
forc_340	1.3586663764380775
forc_341	1.3880408313911712
forc_342	1.3297316375185682
forc_343	1.406818599654012
forc_344	1.3794127352256325
forc_345	1.3606464044150532
forc_346	1.3521807547968248
forc_347	1.3902007353220982
forc_348	1.3663085617261248
forc_349	1.4377148851593138
forc_350	1.4031423033901618
forc_351	1.4069901079209401
forc_352	1.4113205818278747
forc_353	1.3369681879152633
forc_354	1.405883381864028
forc_355	1.3823471283699715
forc_356	1.407915836214239
forc_357	1.4188444008013317
forc_358	1.3668887783349108
forc_359	1.3755208795760192
forc_360	1.3974337833472301
forc_361	1.341883741429195
forc_362	1.3393524499556577
forc_363	1.3861990135232933
forc_364	1.4112358927696083
forc_365	1.377267580659096
forc_366	1.3940590046325583
forc_367	1.3830382647949122
forc_368	1.4086657011183208
forc_369	1.45262686718502
forc_370	1.4039027917831057
forc_371	1.3679083493172073
forc_372	1.3872718434214892
forc_373	1.3615367880785678
forc_374	1.3538673033290287
forc_375	1.3555339292069932
forc_376	1.3796524757438993
forc_377	1.4132979459461144
forc_378	1.391090388433514
forc_379	1.4053214954993913
forc_380	1.3434201138174688
forc_381	1.377090404581364
forc_382	1.3509562103662287
forc_383	1.4200838301684073
forc_384	1.3971623198896987
forc_385	1.3773529986052808
forc_386	1.4157194204253676
forc_387	1.390523931439444
forc_388	1.3704489464895988
