Method	Value
forc_0	0.7910507031654729
forc_1	1.367832589148913
forc_2	1.325488759193751
forc_3	1.4653598915193686
forc_4	1.3765701140553335
forc_5	1.4224822275973172
forc_6	1.344810558881199
forc_7	1.439166958519974
forc_8	1.467122864887875
forc_9	1.4047411649434753
forc_10	1.3696986524554675
forc_11	1.3784805562094773
forc_12	1.3903663773228936
forc_13	1.3655105454860847
forc_14	1.3652351988626064
forc_15	1.3715811008799765
forc_16	1.3598940535423982
forc_17	1.3889512908041755
forc_18	1.3968774055138808
forc_19	1.3268907691471896
forc_20	1.4236774193024373
forc_21	1.381620218440057
forc_22	1.4371449757766237
forc_23	1.4219545145872485
forc_24	1.3379170043242286
forc_25	1.429998709819029
forc_26	1.3846261418501407
forc_27	1.3843829096527638
forc_28	1.4116625054093754
forc_29	1.3855871499320096
forc_30	1.390876467992466
forc_31	1.3912257004360487
forc_32	1.3472677088993645
forc_33	1.4166389397261714
forc_34	1.3312118148308916
forc_35	1.3694533333710979
forc_36	1.3669780023771687
forc_37	1.3985968783830458
forc_38	1.3628192504385992
forc_39	1.3556443517415624
forc_40	1.4048708690647684
forc_41	1.4010177831301998
forc_42	1.3896236778507753
forc_43	1.4025681987553904
forc_44	1.410787787643978
forc_45	1.3879160922403733
forc_46	1.395122405742359
forc_47	1.3967388780423897
forc_48	1.3729228873282013
forc_49	1.3722828488966485
forc_50	1.3710958720486863
forc_51	1.3942019648862711
forc_52	1.3716419536899038
forc_53	1.3603785244154192
forc_54	1.3817386365857982
forc_55	1.3617781149358987
forc_56	1.3742311530051383
forc_57	1.3587621512672683
forc_58	1.3832128804279977
forc_59	1.426852668746451
forc_60	1.3707508531979875
forc_61	1.4019076909515813
forc_62	1.3944583873519034
forc_63	1.3871708399893885
forc_64	1.4098096600298837
forc_65	1.3623773728046769
forc_66	1.3970754069828015
forc_67	1.3821553200737495
forc_68	1.3776382268232308
forc_69	1.3174396047885157
forc_70	1.3985683541795526
forc_71	1.410525111394969
forc_72	1.3791702882787495
forc_73	1.3885770913888829
forc_74	1.3903723370303225
forc_75	1.3924815110263657
forc_76	1.355769452970322
forc_77	1.4292157923176405
