Method	Value
forc_0	0.8280204509127338
forc_1	1.3198066220388995
forc_2	1.2905588594751696
forc_3	1.3165019805991025
forc_4	1.3289464326953586
forc_5	1.3428049655240204
forc_6	1.305603395173353
forc_7	1.3032691664607536
forc_8	1.2798740754882845
forc_9	1.3723976493158512
forc_10	1.3210728105077536
forc_11	1.337235635065305
forc_12	1.293165486559028
forc_13	1.3070761046320367
forc_14	1.2973033086189327
forc_15	1.3651636485618646
forc_16	1.3366361442843095
forc_17	1.3147117619546462
forc_18	1.3246395058472047
forc_19	1.34102480515441
forc_20	1.3668758812620032
forc_21	1.3218795319816885
forc_22	1.3095572469384003
forc_23	1.345023753735873
forc_24	1.2996065234173193
forc_25	1.3598124736507096
forc_26	1.3217016145625904
forc_27	1.358461271528951
forc_28	1.3790629807458148
forc_29	1.3188484008032284
forc_30	1.3405730085594523
forc_31	1.3400961080426839
forc_32	1.3118685344453305
forc_33	1.3318098309922763
forc_34	1.3230825196311848
forc_35	1.3487685630546173
forc_36	1.3649255807266756
forc_37	1.2958721745063815
forc_38	1.3488740568374775
forc_39	1.3211986528420292
forc_40	1.3015241982263555
forc_41	1.3026544557718651
forc_42	1.3304965094192902
forc_43	1.3577430921435316
forc_44	1.3084423358723194
forc_45	1.3381344060617926
forc_46	1.3088119386387127
forc_47	1.3444205396505096
forc_48	1.3362641813745055
forc_49	1.3188471272721995
forc_50	1.3326467618881541
forc_51	1.2796069237075118
forc_52	1.3346411586994
forc_53	1.3076308186160657
forc_54	1.3283016247620059
forc_55	1.3310586872127068
forc_56	1.3067630034552111
forc_57	1.310620604185724
forc_58	1.3076888122356438
forc_59	1.3270921803643214
forc_60	1.3517322128167137
forc_61	1.3283397024046482
forc_62	1.3164608424936084
forc_63	1.3438006353183771
forc_64	1.363547381150306
forc_65	1.3541313550807144
forc_66	1.3476849426601454
forc_67	1.3487663815363804
forc_68	1.3170270839998561
forc_69	1.3318816289665119
forc_70	1.2903473231269238
forc_71	1.3323039377322574
forc_72	1.3561752386376844
forc_73	1.3256081587476385
forc_74	1.3173622257758977
forc_75	1.3380813843151398
forc_76	1.306849238496695
forc_77	1.302207202922923
forc_78	1.3186587108440027
forc_79	1.346980878449529
forc_80	1.3156324405812903
forc_81	1.33784286512144
forc_82	1.3373626526958147
forc_83	1.3003875173320878
forc_84	1.3251898647356304
forc_85	1.2960937648529733
forc_86	1.3516103519788711
forc_87	1.3669021151286083
forc_88	1.3416111550573695
forc_89	1.3585304358314194
forc_90	1.3000978150505036
forc_91	1.3571696609143453
forc_92	1.3077426230193918
forc_93	1.3152991729372165
forc_94	1.320234686391125
forc_95	1.2967603412802946
forc_96	1.2916762187759316
forc_97	1.314238560993972
forc_98	1.3725377486665087
forc_99	1.3200936498354325
forc_100	1.3095478101830809
forc_101	1.3239086768292667
forc_102	1.3393093324223406
forc_103	1.3219724968810578
forc_104	1.3169822575726287
forc_105	1.3387866666154757
forc_106	1.3036872703439597
forc_107	1.2658151652599827
forc_108	1.2947301312345432
forc_109	1.2916507923345282
forc_110	1.3342485305119887
forc_111	1.3128479228015728
forc_112	1.3182037027141027
forc_113	1.3634445039011376
forc_114	1.3484139660092296
forc_115	1.3470447462375785
forc_116	1.3471903843401598
forc_117	1.3768378995317647
forc_118	1.3353615031740123
forc_119	1.3475817478104664
forc_120	1.331768744454864
forc_121	1.3323894975393427
forc_122	1.3598327768303424
forc_123	1.320088656408474
forc_124	1.3033880470424666
forc_125	1.2985101184230927
forc_126	1.3478143066000066
forc_127	1.3136568579329142
forc_128	1.3181909606315871
forc_129	1.3323229148402576
forc_130	1.299161493195224
forc_131	1.30482547129636
forc_132	1.2994122816508389
forc_133	1.323723153856815
forc_134	1.3336618497446913
forc_135	1.3083205496720387
forc_136	1.3371442392137927
forc_137	1.321710023343505
forc_138	1.3270177128360718
forc_139	1.2801646127052784
forc_140	1.3062223429069484
forc_141	1.3695978605564207
forc_142	1.332173977149371
forc_143	1.332419670954059
forc_144	1.3551461333087278
forc_145	1.361926902915637
forc_146	1.2996523437557117
forc_147	1.3239969879868858
forc_148	1.3343453025030931
forc_149	1.3207971820397222
forc_150	1.3095850272290885
forc_151	1.2972123552590271
forc_152	1.3452305459514315
forc_153	1.3454125327919209
forc_154	1.3676945836693322
forc_155	1.3741138306438234
forc_156	1.3562000639162266
forc_157	1.30907518757716
forc_158	1.341454971585582
forc_159	1.328003404891008
forc_160	1.3316542761075183
forc_161	1.2661119414623851
forc_162	1.3691488476550688
forc_163	1.356481732595983
forc_164	1.2863789513836554
forc_165	1.3345119585031913
forc_166	1.32875431375231
forc_167	1.299486877432985
forc_168	1.344395088680061
forc_169	1.3333127271820822
forc_170	1.3205729097581582
forc_171	1.3099020615127337
forc_172	1.3163504704402982
forc_173	1.3309409226485278
forc_174	1.3275454698881872
forc_175	1.3152996230311513
forc_176	1.2879028754081223
forc_177	1.3375383342443274
forc_178	1.3484345271601195
forc_179	1.3740094354767927
forc_180	1.3353468808544184
forc_181	1.3135387366451776
forc_182	1.3389472881731264
forc_183	1.3339341358368246
forc_184	1.3621632114805076
forc_185	1.2887219628344095
forc_186	1.3384167798853697
forc_187	1.314378374078031
forc_188	1.3783234071034691
forc_189	1.3230684213386623
forc_190	1.3190079885587598
forc_191	1.3086003492705656
forc_192	1.3588254244126994
forc_193	1.3318487748905767
forc_194	1.297899620229199
forc_195	1.352556181436339
forc_196	1.3170836530796184
forc_197	1.3148811965404168
forc_198	1.3155693944189792
forc_199	1.300337665202297
forc_200	1.2952917475599919
forc_201	1.3534885092147002
forc_202	1.319096285912477
forc_203	1.310407587781675
forc_204	1.3238555770486142
forc_205	1.320658494301122
forc_206	1.3450259408789655
forc_207	1.3386301246240717
forc_208	1.3174071348892245
forc_209	1.3115793435005278
forc_210	1.3364350541136956
forc_211	1.3660637925016368
forc_212	1.3602148451980316
forc_213	1.2778661258600525
forc_214	1.314609588925732
forc_215	1.3027763257066542
forc_216	1.307264926591969
forc_217	1.3016524329737027
forc_218	1.3535908780973407
forc_219	1.3426602443840001
forc_220	1.3469040759533386
forc_221	1.350203486804648
forc_222	1.3299526571287215
