Method	Value
forc_0	1.0559871572248452
forc_1	3.1861836559651886
forc_2	3.199397320305807
forc_3	3.000354035680843
forc_4	3.0549021902350635
forc_5	3.2952063403512803
forc_6	3.171367762646864
forc_7	3.0765058052626815
forc_8	3.376870341611413
forc_9	3.1795571057330503
forc_10	3.376742916634931
forc_11	3.1346301927884723
forc_12	3.4369661912636764
forc_13	3.2283459228654796
forc_14	3.052199369677784
forc_15	3.239586199229342
forc_16	3.50434740714509
forc_17	3.2412465775316512
forc_18	3.152365798678621
forc_19	3.0804734106184313
forc_20	3.2131262868045365
forc_21	3.2701431624298474
forc_22	3.298630283930862
forc_23	3.44973873963683
forc_24	3.237224687570351
forc_25	3.195363646808154
forc_26	3.299817781255798
forc_27	3.1557685312819452
forc_28	3.049082917413441
forc_29	3.155106541884681
forc_30	3.2819195426934082
forc_31	3.418915878067509
forc_32	2.969308782746903
forc_33	3.2879309243706185
forc_34	3.1374731583756548
forc_35	3.0648134996052665
forc_36	3.3668449042824196
forc_37	3.293860736975904
forc_38	3.336843589698499
forc_39	3.164667179897148
forc_40	3.15152138272364
forc_41	3.3054267842709133
forc_42	3.2773671691670523
forc_43	3.2431783141815194
forc_44	3.1995205014077808
forc_45	3.144910111522427
forc_46	3.230279299371275
forc_47	3.002469935787774
forc_48	3.2888788832090863
forc_49	3.0422158532393304
forc_50	3.2156211423894963
forc_51	3.2240346053530557
forc_52	3.117552303899735
forc_53	3.120949185909575
forc_54	3.2404843664621295
forc_55	3.323964475343575
forc_56	3.248094118563231
forc_57	3.291828200249911
forc_58	3.2658104271527177
forc_59	3.1857468777156193
forc_60	3.288767609748062
forc_61	3.1211607086531563
forc_62	3.376483566707087
forc_63	3.2834940914595183
forc_64	3.1889941773667188
forc_65	3.014655798925749
forc_66	2.984954050540452
forc_67	3.342053003902004
forc_68	3.281269053768462
forc_69	3.276963065893633
forc_70	3.1107455146867182
forc_71	3.20293348834057
forc_72	3.3529217950065497
forc_73	3.231686426578646
forc_74	3.1487709150400516
forc_75	3.214375439517382
forc_76	3.2048349147462694
forc_77	3.35783065438765
forc_78	3.2377001792578386
forc_79	3.306118675443778
forc_80	3.1394999675585686
forc_81	3.2940395742549047
forc_82	3.352706093263408
forc_83	3.1569417418723806
forc_84	3.1948494669565517
forc_85	3.1683792708806484
forc_86	3.0459237704696167
forc_87	3.159823767311759
forc_88	3.2184081808382747
forc_89	3.2485431652319816
forc_90	3.0132580529828505
forc_91	3.213474513720899
forc_92	3.180614061450753
forc_93	3.2138020542657917
forc_94	3.1649955681612036
forc_95	3.274553124747743
forc_96	3.092145682993221
forc_97	3.1914927872090475
forc_98	3.235007915903632
forc_99	3.31967122056601
forc_100	3.2462027394965256
forc_101	2.9947136818912248
forc_102	3.1803556244109656
forc_103	3.050918580941845
forc_104	3.426963948005025
forc_105	3.253272501374864
forc_106	3.139862923913305
forc_107	3.285818668082724
forc_108	3.1696860071512574
forc_109	3.0901049616241814
forc_110	3.3141128282743493
forc_111	3.310906719733148
forc_112	3.308546816370968
forc_113	3.100257500354525
forc_114	3.005999294634363
forc_115	3.113479205513804
forc_116	3.064537494478933
forc_117	3.2110142876341796
forc_118	3.351982148834391
forc_119	3.4290730842092167
forc_120	2.906768173255564
forc_121	3.429322480848738
forc_122	3.406955960306024
forc_123	3.2797277470196335
forc_124	3.348678093730569
forc_125	3.2959293396097733
forc_126	3.4975430127500906
forc_127	3.3208440291894337
forc_128	3.3183754616149
forc_129	3.3548853757705306
forc_130	3.2187973401470313
forc_131	3.0392587478715853
