Method	Value
forc_0	0.823835147558627
forc_1	1.4348214818140836
forc_2	1.5176123653585114
forc_3	1.4664972559912934
forc_4	1.481070274035402
forc_5	1.499317862576798
forc_6	1.4951340575017973
forc_7	1.4187018819454391
forc_8	1.4587876780768323
forc_9	1.3878083021220886
forc_10	1.499165177151321
forc_11	1.489988012608603
forc_12	1.465897838059359
forc_13	1.515594301160155
forc_14	1.4780284049771362
forc_15	1.4297311918557976
forc_16	1.4574254375460345
forc_17	1.4365688156274061
forc_18	1.4788709516544425
forc_19	1.4899058060215935
forc_20	1.4832279368582784
forc_21	1.438588225246308
forc_22	1.4983912778879112
forc_23	1.4634721903294885
forc_24	1.4981331810902927
forc_25	1.4980842883106347
forc_26	1.4236903584816647
forc_27	1.4485716931411738
forc_28	1.498197367541005
forc_29	1.4445788064616214
forc_30	1.4534733475087067
forc_31	1.4173954637984756
forc_32	1.4710703222504729
forc_33	1.4358156122679335
forc_34	1.4595711993673046
forc_35	1.4479609533648032
forc_36	1.4909753299208928
forc_37	1.5193596288789224
forc_38	1.4732665173693416
forc_39	1.468658332137093
forc_40	1.4788418999040867
forc_41	1.4720557340807827
forc_42	1.45164291065693
forc_43	1.463970130081183
forc_44	1.4450676108452853
forc_45	1.4533295334822813
forc_46	1.4573313414108533
forc_47	1.4346811885250488
forc_48	1.4521208373430075
forc_49	1.4760051585013358
forc_50	1.4070792776942083
forc_51	1.4410621189302437
forc_52	1.4684038070575247
forc_53	1.4375931706281209
forc_54	1.464467607666358
forc_55	1.4693821472516644
forc_56	1.458627937874954
forc_57	1.4179090408056956
forc_58	1.4778508156420518
forc_59	1.4358580748886582
forc_60	1.4397261622700974
forc_61	1.430947957795048
forc_62	1.4658720104474527
forc_63	1.4543923229912459
forc_64	1.445642611100449
forc_65	1.445183739178769
forc_66	1.3892272008101099
forc_67	1.4371200081498154
forc_68	1.4726094919422439
forc_69	1.4335324076861027
forc_70	1.453822552416942
forc_71	1.5194096565319675
forc_72	1.4590108237193506
forc_73	1.5107933156514157
forc_74	1.4481661181247374
forc_75	1.4453424491748117
forc_76	1.4353019068868702
forc_77	1.3967404585091034
forc_78	1.4475613138375267
forc_79	1.4996200396975834
forc_80	1.4137905505050443
forc_81	1.4295273554952221
forc_82	1.486451558704726
forc_83	1.4851556652092863
forc_84	1.4973362019916572
forc_85	1.4578250336742857
forc_86	1.4581704506090307
forc_87	1.498182855926381
forc_88	1.4987846625805474
forc_89	1.4391468834986154
forc_90	1.4871555229375424
forc_91	1.4434115232195694
forc_92	1.476382622512822
forc_93	1.4877811988442777
forc_94	1.4547279779248738
forc_95	1.452273762155024
forc_96	1.4823909526734618
forc_97	1.4812258189064378
forc_98	1.453239501266334
forc_99	1.3823404291678054
forc_100	1.427031981002112
forc_101	1.4928989831308834
forc_102	1.4627786928412125
forc_103	1.4673654817684965
forc_104	1.4111481325783688
forc_105	1.4741221298029612
forc_106	1.4632494924854522
forc_107	1.4482170584631788
forc_108	1.437627321659512
forc_109	1.499769987417623
forc_110	1.4014685360033408
forc_111	1.4770631552816056
forc_112	1.4328313672215527
forc_113	1.401245959324999
forc_114	1.471954325128023
forc_115	1.4587281837197548
forc_116	1.4026142213658719
forc_117	1.4603377747379411
forc_118	1.4631922511688868
forc_119	1.5129401596868401
forc_120	1.4576181088928184
forc_121	1.472504215254512
forc_122	1.4819270123543686
forc_123	1.4651759486508715
forc_124	1.470747869261463
forc_125	1.4613509038949632
forc_126	1.4430851929579522
forc_127	1.4465067254845305
forc_128	1.472571290160383
forc_129	1.4745733300817807
forc_130	1.4183280525050734
forc_131	1.427766766783115
forc_132	1.4158818564595728
forc_133	1.4510063731263487
forc_134	1.4607238899133859
forc_135	1.4409855643405125
forc_136	1.4868279111876175
forc_137	1.4070278154768008
forc_138	1.3902022358047648
forc_139	1.4361995457384023
forc_140	1.4169980988783863
forc_141	1.4916603826069883
forc_142	1.44169029216658
forc_143	1.4750411515075208
forc_144	1.4441176721350502
forc_145	1.4478492201061532
forc_146	1.4349705228173553
forc_147	1.4443835769043714
forc_148	1.4831251244584562
forc_149	1.4589229785275093
forc_150	1.4692643011756357
forc_151	1.4715937296173045
forc_152	1.4581940481161757
forc_153	1.4898319760855312
forc_154	1.4727342630398654
forc_155	1.4615369531076
forc_156	1.4330864793961458
forc_157	1.4135233615676412
forc_158	1.4498588690612153
forc_159	1.4542153708039347
forc_160	1.4808865067309842
forc_161	1.4456217328374885
forc_162	1.440623707882431
forc_163	1.4588174873522768
forc_164	1.478040507572082
forc_165	1.5046251962740937
forc_166	1.4551913171788353
forc_167	1.4696686554703113
forc_168	1.4117381283657153
forc_169	1.5074599152815238
forc_170	1.4484287918784198
forc_171	1.425165929234826
forc_172	1.4256139927975908
forc_173	1.4647518952735163
forc_174	1.49660251430072
forc_175	1.4252266009778392
forc_176	1.498842644578782
forc_177	1.4126947068823377
forc_178	1.4556279547786561
forc_179	1.4358357912017141
forc_180	1.41936668440422
forc_181	1.4510848424080436
forc_182	1.477300116340228
forc_183	1.4656532155920339
forc_184	1.430547320169986
forc_185	1.5039168608651734
forc_186	1.4674120192312712
forc_187	1.465917914803387
forc_188	1.4355885974514513
forc_189	1.4904963464168919
forc_190	1.5202597071873978
forc_191	1.4507754872424306
forc_192	1.451869134179223
forc_193	1.5212686100473998
forc_194	1.4423872556634392
forc_195	1.4629677702851596
forc_196	1.4913271126689847
forc_197	1.5026533542005427
forc_198	1.4279743543090753
forc_199	1.41585490310631
forc_200	1.4557280528154746
forc_201	1.477921641502226
forc_202	1.4338340870818014
forc_203	1.4513979276622164
forc_204	1.4056192108318888
forc_205	1.4509523311448962
forc_206	1.4413505842684102
forc_207	1.475367520968637
forc_208	1.440532003481122
forc_209	1.4354168645954315
forc_210	1.4219422516373807
forc_211	1.4599958548489729
forc_212	1.4310328583915928
forc_213	1.466628694189632
forc_214	1.4969090502564164
forc_215	1.4007067255895314
forc_216	1.4532606002784605
forc_217	1.4619269368182681
forc_218	1.4676451274667857
forc_219	1.4523814865767055
forc_220	1.4835062969624713
forc_221	1.449079893524914
forc_222	1.4923204671860903
forc_223	1.4769797079099873
forc_224	1.5238964369193806
forc_225	1.4170989035370944
forc_226	1.5066042136049163
forc_227	1.4419709432608552
forc_228	1.4220743106728417
forc_229	1.4089109156437902
forc_230	1.477838288996115
forc_231	1.4539834200605897
forc_232	1.440338884117011
forc_233	1.4643420062803736
forc_234	1.4353532979195895
forc_235	1.4438073466923687
forc_236	1.4980603002956174
forc_237	1.4455230106566286
forc_238	1.5128617119058327
forc_239	1.5156436499115458
forc_240	1.484631108133359
forc_241	1.444662932992879
forc_242	1.436176059149929
forc_243	1.445538489334003
forc_244	1.516387087564496
forc_245	1.5120456342989665
forc_246	1.4612147979052403
forc_247	1.4719206890518812
forc_248	1.4774644585285641
forc_249	1.419581669277573
forc_250	1.448820868448153
forc_251	1.4608906154014816
forc_252	1.41264961523908
forc_253	1.4416192147277433
forc_254	1.4473762809623458
forc_255	1.4565726013987288
forc_256	1.4939442728659191
forc_257	1.40549184021859
forc_258	1.4164939163034584
forc_259	1.4653221175667455
forc_260	1.4691478586839741
forc_261	1.4563837040044856
forc_262	1.3980539776743086
forc_263	1.4520797845661355
forc_264	1.442601393754176
forc_265	1.401700153439541
forc_266	1.4722061633946697
forc_267	1.3834351056140335
forc_268	1.3647327625028038
forc_269	1.4306911005710279
forc_270	1.4962071945018922
forc_271	1.4242485499525335
forc_272	1.4661747029476793
forc_273	1.463032956347586
forc_274	1.4608638478092335
forc_275	1.4486769362004728
forc_276	1.4629394565011817
forc_277	1.4630277082056677
forc_278	1.4971639864240929
forc_279	1.4741898705584857
forc_280	1.5222774770057974
forc_281	1.471670542823175
forc_282	1.451000416943837
