Method	Value
forc_0	0.7946321201830192
forc_1	1.4058732212921363
forc_2	1.3572121522851717
forc_3	1.4082943307362978
forc_4	1.4441907135757295
forc_5	1.4378310625690731
forc_6	1.3672966885030335
forc_7	1.4026710757678889
forc_8	1.4435258235743247
forc_9	1.4351155076488906
forc_10	1.4303541492828062
forc_11	1.4265371482283604
forc_12	1.447926174825167
forc_13	1.4192945019942467
forc_14	1.4142728125716721
forc_15	1.4250870181886734
forc_16	1.4021098732845905
forc_17	1.4241335145398843
forc_18	1.420875243212513
forc_19	1.3992043070392766
forc_20	1.4528220762851904
forc_21	1.435508392824077
forc_22	1.3718119772374464
forc_23	1.4471796855605137
forc_24	1.4356140549084624
forc_25	1.465611110412468
forc_26	1.424470764490698
forc_27	1.4033381842141286
forc_28	1.4049814291140597
forc_29	1.4422303530551386
forc_30	1.4605028353903102
forc_31	1.4486425293950476
forc_32	1.3903169995588749
forc_33	1.4276529980642407
forc_34	1.4490895151155203
forc_35	1.4104340785920275
forc_36	1.4771060172616075
forc_37	1.3763004933721996
forc_38	1.39937982867709
forc_39	1.4206103990356873
forc_40	1.4181866588438787
forc_41	1.3994739556528566
forc_42	1.4046035720397343
forc_43	1.437556720681615
forc_44	1.4469177345438775
forc_45	1.4114284933946182
forc_46	1.4797785655664872
forc_47	1.389947652103468
forc_48	1.4105425129692484
forc_49	1.451699352826379
forc_50	1.4305500472196075
forc_51	1.4088051917815174
forc_52	1.449464701346456
forc_53	1.4083972973429724
forc_54	1.4333722475597264
forc_55	1.408530113770918
forc_56	1.4373708394366842
forc_57	1.385516688792681
forc_58	1.430369369509459
forc_59	1.3904741425825944
forc_60	1.429518888319379
forc_61	1.430421542084723
forc_62	1.3942422806351704
forc_63	1.4230874396576232
forc_64	1.400354804448704
forc_65	1.3868433647206608
forc_66	1.4300542328934789
forc_67	1.4625244015826335
forc_68	1.4487190161265107
forc_69	1.4351931305339736
forc_70	1.4217860038601025
forc_71	1.435536636720529
forc_72	1.4150494565713934
forc_73	1.434461884328658
forc_74	1.3867564116301054
forc_75	1.4274376257287
forc_76	1.4338290766078918
forc_77	1.407161781860579
forc_78	1.4268655530279841
forc_79	1.3862010558992932
forc_80	1.436370824399976
forc_81	1.4281410576578872
forc_82	1.3862272952335766
forc_83	1.4054824624919062
forc_84	1.4486795670532935
forc_85	1.4084708043686174
forc_86	1.4554122925646895
forc_87	1.4478383754027213
forc_88	1.3298417561429354
forc_89	1.4366421798375872
forc_90	1.416355798380945
forc_91	1.4401483108287687
forc_92	1.358746497869415
forc_93	1.4286959096741296
forc_94	1.4327156882926158
forc_95	1.4415082040761615
forc_96	1.3784639262229146
forc_97	1.4363210171159986
forc_98	1.3977383125450944
forc_99	1.4226257723363425
forc_100	1.4844738887744742
forc_101	1.416772624803194
forc_102	1.386417304288535
forc_103	1.3900173977703172
forc_104	1.3850080322180838
forc_105	1.4891902428726036
forc_106	1.404657580518494
forc_107	1.4272396788217934
forc_108	1.4363233829043969
forc_109	1.3922172221017124
forc_110	1.4177437409104732
forc_111	1.4369374729398423
forc_112	1.4097280677357316
forc_113	1.402389775074036
forc_114	1.4419134288251179
forc_115	1.4474136850182018
forc_116	1.439378051604801
forc_117	1.3966110540384582
forc_118	1.443894385222019
forc_119	1.4387719084108004
forc_120	1.3952690667381922
forc_121	1.4234259377861318
forc_122	1.3781222986767585
forc_123	1.427692839138744
forc_124	1.4026752197544552
forc_125	1.4190692184130156
forc_126	1.3990836204217894
forc_127	1.4121650592329602
forc_128	1.3950179286679747
forc_129	1.409035657106761
forc_130	1.4316363976477702
forc_131	1.4176759133130439
forc_132	1.4236385235561264
forc_133	1.4041285624535278
forc_134	1.4268298901757428
forc_135	1.3753068558033545
forc_136	1.4858240220898544
forc_137	1.5075347116203845
forc_138	1.3915176399669873
forc_139	1.3876907909472196
forc_140	1.4088329464247193
forc_141	1.4459677013359389
forc_142	1.4119744651928494
forc_143	1.3878864820250232
forc_144	1.4056366856962363
forc_145	1.4158314440630733
forc_146	1.4121887523020547
forc_147	1.4204611730036807
forc_148	1.4318239186470434
forc_149	1.4430850542874976
forc_150	1.40836328609478
forc_151	1.419176170830435
forc_152	1.4481451995152554
forc_153	1.437479440132352
forc_154	1.4593507507895114
forc_155	1.4042626628592931
forc_156	1.458221640285743
forc_157	1.3973052608934167
forc_158	1.4657776284318198
forc_159	1.4330228143602732
forc_160	1.383930531135669
forc_161	1.453438657585956
forc_162	1.380360293314981
forc_163	1.3864381942209698
forc_164	1.4853998720947388
forc_165	1.448844038404638
forc_166	1.4665188562750406
forc_167	1.4328516230872566
forc_168	1.3904849966121395
forc_169	1.4499640553785003
forc_170	1.433599013857442
forc_171	1.4225430704646458
forc_172	1.4070205487311362
forc_173	1.41354059382326
forc_174	1.4123970008695126
forc_175	1.3732438220294276
forc_176	1.4329310400741275
forc_177	1.4046712208103762
forc_178	1.3985396245924517
forc_179	1.3754656163621886
forc_180	1.397376497046442
forc_181	1.4116248175829358
forc_182	1.4391406692387954
forc_183	1.37661830081459
forc_184	1.4562711299203182
forc_185	1.3725708785937591
forc_186	1.4441333754745704
forc_187	1.4242296584178207
forc_188	1.392900060176146
forc_189	1.448680366390852
forc_190	1.4169585722704572
