Method	Value
forc_1	3.4926327306754303
forc_2	3.0528137662579997
forc_3	3.210716384452401
forc_4	3.3358649096957556
forc_5	3.242079471927321
forc_6	3.4308234548524115
forc_7	2.9796668564069955
forc_8	3.35499625654031
forc_9	3.3839321595129372
forc_10	3.341506279299086
forc_11	3.2385056983274647
forc_12	3.2225273625791027
forc_13	3.3070586301838665
forc_14	3.3970353335710084
forc_15	3.2628379201025464
forc_16	3.2117760848198236
forc_17	3.235755999118588
forc_18	3.3578908604555218
forc_19	3.3523340656304237
forc_20	3.295522886278926
forc_21	2.7688720543634626
forc_22	3.2680855632671575
forc_23	3.264205337243606
forc_24	3.3160989785234767
forc_25	3.196823945108258
forc_26	3.461061112209995
forc_27	3.2974048414616797
forc_28	3.3017715296082013
forc_29	3.1820987175045325
forc_30	3.309915750716582
forc_31	3.376930223854312
forc_32	3.361238258216877
forc_33	3.244439710223018
forc_34	3.269573552537132
forc_35	3.38176248975576
forc_36	3.5767417313000505
forc_37	3.2079729003653443
forc_38	3.275360182245066
forc_39	3.2566698966320744
forc_40	3.305386542803698
forc_41	3.158179669378441
forc_42	3.2988470408908475
forc_43	3.3706542391530103
forc_44	3.0375281427289713
forc_45	3.3235789039265953
forc_46	3.353590699891375
forc_47	3.109788709054299
forc_48	3.1376657545479105
forc_49	3.1447263397371708
forc_50	3.3017513983859037
forc_51	3.1707844460632963
forc_52	3.3601394349215834
forc_53	3.328385313530875
forc_54	3.1478299266432983
forc_55	3.4528213689264167
forc_56	3.1409224658679835
forc_57	3.2028089869972813
forc_58	3.4245218452262867
forc_59	3.178621398731777
forc_60	2.9173992030960716
forc_61	3.3315015662897056
forc_62	3.0612653443596134
forc_63	3.337781567519493
forc_64	3.124450721875012
forc_65	3.43846624970665
forc_66	3.3266132314712284
forc_67	3.3914154226157076
forc_68	3.384201797965495
forc_69	3.1561194160512187
forc_70	3.291312264889749
forc_71	3.2714425796955244
forc_72	3.243494405861486
forc_73	3.3831803971219174
forc_74	3.3457377907048067
forc_75	3.429083203115049
forc_76	3.1608757758579573
forc_77	3.250449558259304
forc_78	3.176884441158064
forc_79	3.2164899122941004
forc_80	2.943454481383859
forc_81	3.404645164708492
forc_82	3.5147683276194663
forc_83	3.397414629243017
forc_84	3.4519218011515127
forc_85	3.334657595168697
forc_86	3.376431966175241
