Method	Value
forc_1	1.3205839406922437
forc_2	1.315465750425464
forc_3	1.3348968214673036
forc_4	1.3319386479704385
forc_5	1.2933592463044048
forc_6	1.3210746881049718
forc_7	1.3020005073916874
forc_8	1.3110172617700644
forc_9	1.3356223035837296
forc_10	1.345050798913475
forc_11	1.2868292252889908
forc_12	1.3611161615361507
forc_13	1.3042184900617664
forc_14	1.2938544796349
forc_15	1.3158510980899039
forc_16	1.2765524790919547
forc_17	1.3144142544559436
forc_18	1.3108679788599653
forc_19	1.3414472476178116
forc_20	1.2960443358161147
forc_21	1.3352109756903485
forc_22	1.3362124722242428
forc_23	1.3115806280167286
forc_24	1.3207855695033262
forc_25	1.3182102287580435
forc_26	1.3056941581172194
forc_27	1.3058688100841331
forc_28	1.331329664656792
forc_29	1.3032349250603643
forc_30	1.322056102662928
forc_31	1.2814650236084
forc_32	1.309399367612539
forc_33	1.283391752309132
forc_34	1.305761627424275
forc_35	1.2824555361772878
forc_36	1.3102183558585532
forc_37	1.2815929481870636
forc_38	1.349287476924015
forc_39	1.355686736240262
forc_40	1.333183796839451
forc_41	1.3114116766324022
forc_42	1.3023786335956427
forc_43	1.2760517464940946
forc_44	1.311994136660507
forc_45	1.3250212551507516
forc_46	1.3090841371119848
forc_47	1.3213306630261974
forc_48	1.3145143117086515
forc_49	1.3040004268479224
forc_50	1.3163667490117346
forc_51	1.2805011276173748
forc_52	1.3346819538349397
forc_53	1.3240859888423813
forc_54	1.2879913872410644
forc_55	1.2744627545902814
forc_56	1.3157151929119533
forc_57	1.3706714515720684
forc_58	1.2492650773275251
forc_59	1.300122896578997
forc_60	1.3233400019871528
forc_61	1.277111340131024
forc_62	1.3041186291873974
forc_63	1.3234584626300663
forc_64	1.312043091895212
forc_65	1.2955271027844968
forc_66	1.3143613719888627
forc_67	1.280720332989496
forc_68	1.3307389190929684
forc_69	1.2894039089850737
forc_70	1.3304960623369197
forc_71	1.3441874409726582
forc_72	1.3376177211504985
forc_73	1.3144190052057827
forc_74	1.3065896908887145
forc_75	1.3446076300223735
forc_76	1.3448995903098022
