Method	Value
forc_1	1.355210412587902
forc_2	1.3416629593110765
forc_3	1.396204779632348
forc_4	1.3598607454112437
forc_5	1.3947696448497466
forc_6	1.4147575097992118
forc_7	1.4113469974519215
forc_8	1.4420874590972224
forc_9	1.4158014920534623
forc_10	1.3734239833168482
forc_11	1.383468184398667
forc_12	1.3537110838103141
forc_13	1.3782257908087252
forc_14	1.4127774231277372
forc_15	1.3924438297776416
forc_16	1.3869153714133688
forc_17	1.4062604772024057
forc_18	1.3969314509735684
forc_19	1.3846201689262383
forc_20	1.377120025436255
forc_21	1.3062521942988305
forc_22	1.393698411483168
forc_23	1.4023354205371628
forc_24	1.3789101949782878
forc_25	1.362529875617688
forc_26	1.4199304498283138
forc_27	1.410441353152063
forc_28	1.343707579424379
forc_29	1.3554956767503101
forc_30	1.3701309243255195
forc_31	1.3945135245169997
forc_32	1.42759943643441
forc_33	1.3971374411042958
forc_34	1.416281128563236
forc_35	1.3573836771776944
forc_36	1.4226247633209388
forc_37	1.3939811499172237
forc_38	1.3829767343286568
forc_39	1.3541542308806689
forc_40	1.3548749091680494
forc_41	1.4056594347987685
forc_42	1.4069548029758936
forc_43	1.3667903530582834
forc_44	1.4157973108943351
forc_45	1.3873072827758182
forc_46	1.3842936594970459
forc_47	1.3858982428718838
forc_48	1.4012274293091167
forc_49	1.4184968219683187
forc_50	1.3863558816119899
forc_51	1.396908413162295
forc_52	1.4025813280228638
forc_53	1.3849027968240137
forc_54	1.4305464911306056
forc_55	1.3454316028626736
forc_56	1.4286348500072252
forc_57	1.3944501456878433
forc_58	1.3958088575913858
forc_59	1.3771213303278107
forc_60	1.3741013888711548
forc_61	1.4062097193322112
forc_62	1.4040174018199985
forc_63	1.3653983857507594
forc_64	1.3841918880600839
forc_65	1.3546491327083767
forc_66	1.3856526232634883
forc_67	1.3561471140445176
forc_68	1.4178308448354695
forc_69	1.362890971611067
forc_70	1.3915695655198088
forc_71	1.3885923715098913
forc_72	1.3986569166042686
forc_73	1.3884449897981754
forc_74	1.3530855431687037
forc_75	1.4086824399626166
forc_76	1.3725526674787418
forc_77	1.410586172202721
forc_78	1.4295677959242454
forc_79	1.3914793393056888
forc_80	1.381714775767135
forc_81	1.3660966855942014
forc_82	1.4080103551251462
forc_83	1.4383690078780647
forc_84	1.3581629624398155
forc_85	1.405186227081575
forc_86	1.3774983220666241
forc_87	1.4094384423859714
forc_88	1.3957607688930633
forc_89	1.3972725305992142
forc_90	1.3615047195675598
forc_91	1.3897246890055936
forc_92	1.4199273763438325
forc_93	1.357127240338559
forc_94	1.3887822201820401
forc_95	1.3660638594604972
forc_96	1.3632606892808246
forc_97	1.4241922979068358
forc_98	1.364087767803321
forc_99	1.3620754746266999
forc_100	1.4192226392424931
forc_101	1.3690858371722312
forc_102	1.4159781084417904
forc_103	1.4215212711020078
forc_104	1.369779162403344
forc_105	1.4162114352619257
forc_106	1.3808536657592447
forc_107	1.3737806995711102
forc_108	1.376341965899514
forc_109	1.4155529031380183
forc_110	1.3846573470003518
forc_111	1.3778692713376641
forc_112	1.4114694024690118
forc_113	1.3827614282349128
forc_114	1.3788514996957828
forc_115	1.3591226215465444
forc_116	1.412635620407827
forc_117	1.3966017880601116
forc_118	1.3130109142707196
forc_119	1.3885850501777681
forc_120	1.4126036123522696
forc_121	1.3532022551124687
forc_122	1.3816778582194078
forc_123	1.3639059171476355
forc_124	1.3947409400761646
forc_125	1.3804289275092267
forc_126	1.3906098598044045
forc_127	1.393869913578877
forc_128	1.443886998252816
forc_129	1.3727557610107266
forc_130	1.3817288918760717
forc_131	1.3732525545320706
forc_132	1.416811277519942
forc_133	1.3806267197637805
forc_134	1.3975314979232143
forc_135	1.298833950061899
forc_136	1.4408547537970111
forc_137	1.4007489369517836
forc_138	1.3638571240345876
forc_139	1.3434302856636087
forc_140	1.3834586798076356
forc_141	1.3911527704559168
forc_142	1.3696383551351214
forc_143	1.3701595356984686
forc_144	1.3901904107864254
forc_145	1.35384788118494
forc_146	1.361330617276711
forc_147	1.3822008023062793
forc_148	1.4171576281604332
forc_149	1.3827368472150006
forc_150	1.3899801655195254
forc_151	1.3395783905145775
forc_152	1.3867129657055497
forc_153	1.3965633773438584
forc_154	1.3822806862319204
forc_155	1.349481039693387
forc_156	1.4030442911654173
forc_157	1.3779295642654168
forc_158	1.3813455282403144
forc_159	1.3585160300640808
forc_160	1.3790380390804855
forc_161	1.3677350740410121
forc_162	1.3955578817157654
forc_163	1.4020399970955835
forc_164	1.397016126474294
forc_165	1.3234309133190123
forc_166	1.3842155391902922
forc_167	1.3682611537407638
forc_168	1.4253937738086078
forc_169	1.3946017982087064
forc_170	1.4421961744151337
forc_171	1.4273505149879469
forc_172	1.3782247435818984
forc_173	1.3669777260552887
forc_174	1.3937599307448105
forc_175	1.3788260809409354
forc_176	1.4027816914107467
forc_177	1.3880930135631822
forc_178	1.3774252626791126
forc_179	1.384650385339389
forc_180	1.418005297232814
forc_181	1.4110434034682895
forc_182	1.397162595898364
forc_183	1.3682415777684396
forc_184	1.3527101404638313
forc_185	1.3695392994824533
forc_186	1.4470886654496542
forc_187	1.3816748952380098
forc_188	1.3865025578398147
forc_189	1.3595736302418546
forc_190	1.3840110703804895
forc_191	1.3956868576533108
forc_192	1.3974975028267025
forc_193	1.387248521224098
forc_194	1.390370868238865
forc_195	1.3483561045732466
forc_196	1.4263992371844956
forc_197	1.4044463666838334
forc_198	1.3984895426815747
forc_199	1.3651482366358347
forc_200	1.4068482362143115
forc_201	1.4052951115024346
forc_202	1.3719945776638396
forc_203	1.3736099680364746
forc_204	1.3629456324967462
forc_205	1.4312811346687866
forc_206	1.395735236897044
forc_207	1.3874116999329604
forc_208	1.4104683621658705
forc_209	1.3810832306035001
forc_210	1.4065372571134735
forc_211	1.3930496406351636
forc_212	1.3860863111117963
forc_213	1.3991905976613348
forc_214	1.3687621099926928
forc_215	1.3664415190728205
forc_216	1.3747939892759855
forc_217	1.3773553506328189
forc_218	1.3435714127512337
forc_219	1.3924656101668875
forc_220	1.343779295094992
forc_221	1.385875315812983
forc_222	1.3720248715278305
forc_223	1.4128687486153748
forc_224	1.382042550784665
forc_225	1.3754828872185683
forc_226	1.3434963043735912
forc_227	1.3925621168326856
forc_228	1.3875642959683971
forc_229	1.3880625102046509
forc_230	1.377650720712826
forc_231	1.3915808548393755
forc_232	1.4133039065347086
forc_233	1.4079762230183672
forc_234	1.371621725095142
forc_235	1.41052951568958
forc_236	1.37519244913318
forc_237	1.369518040906296
forc_238	1.3903982571990894
forc_239	1.4015926959496225
forc_240	1.3874047697892191
forc_241	1.3770598642553318
forc_242	1.3675309029624974
forc_243	1.3683116757415277
forc_244	1.4077364753546722
forc_245	1.3557887459462155
forc_246	1.4101554896837687
forc_247	1.381509405844913
forc_248	1.3768913360325457
forc_249	1.4096792438954828
forc_250	1.3967248853924579
forc_251	1.3803795614113445
forc_252	1.4207446693661256
forc_253	1.3915801628973596
forc_254	1.336533987512571
forc_255	1.4091002543183242
forc_256	1.4105099568772765
forc_257	1.35666454478664
forc_258	1.3709642179599877
forc_259	1.3752488267320662
forc_260	1.346111874285467
forc_261	1.4092811447952518
forc_262	1.3651649899773555
forc_263	1.3973377298844911
forc_264	1.3499887077271624
forc_265	1.4065855294350382
forc_266	1.3900644691524546
forc_267	1.3818568729079153
forc_268	1.3700473514264169
forc_269	1.3763448032807126
forc_270	1.4190046363434021
forc_271	1.4179588905292728
forc_272	1.383540516275323
forc_273	1.3830094846108538
forc_274	1.3893598354373224
forc_275	1.3906588253243122
forc_276	1.3483110692449385
forc_277	1.3388200423775263
forc_278	1.3761584068314723
forc_279	1.4053216062404852
forc_280	1.400930902635463
forc_281	1.3929470169166656
forc_282	1.378846727710946
forc_283	1.4091048196967302
forc_284	1.3534485885532963
forc_285	1.3381460081158654
forc_286	1.363192023797498
forc_287	1.376420281750122
forc_288	1.398625309093397
forc_289	1.4058992030469661
forc_290	1.3745979172900666
forc_291	1.3601126102194228
forc_292	1.4328953982206625
forc_293	1.3833620700057512
forc_294	1.3803229487308888
forc_295	1.3923657215115852
forc_296	1.413591120661814
forc_297	1.3618187315973591
forc_298	1.4258062171597063
forc_299	1.3799889221564179
forc_300	1.382260022875663
forc_301	1.3764195762317046
forc_302	1.338918429823936
forc_303	1.396111814509623
forc_304	1.3811635937686813
forc_305	1.4221172441503651
forc_306	1.4171211093693246
forc_307	1.4079494155154304
forc_308	1.421939352701044
forc_309	1.3462194030864691
forc_310	1.3856171921274685
forc_311	1.3624297227223219
forc_312	1.36804461977901
forc_313	1.4435162941349786
forc_314	1.4147142335911267
forc_315	1.413634480865697
forc_316	1.3917369005654423
forc_317	1.3916121070028793
forc_318	1.3602689218960609
forc_319	1.3869782768245438
forc_320	1.365128220717919
forc_321	1.3914973815728278
forc_322	1.3522500409019373
forc_323	1.4086702795363413
forc_324	1.3907427914018056
forc_325	1.4293438711881465
forc_326	1.3878980265501255
forc_327	1.4044939155682157
forc_328	1.3753710762114033
forc_329	1.404871064431782
forc_330	1.3912409114859525
forc_331	1.4117287344351743
forc_332	1.371425204651399
forc_333	1.3937161975168904
forc_334	1.4255025343671202
forc_335	1.354194981657069
forc_336	1.3712471848741465
forc_337	1.4220198207912507
forc_338	1.3797832320265933
forc_339	1.372679870177649
forc_340	1.3894343679383265
forc_341	1.329150744424319
forc_342	1.345781452110504
forc_343	1.352705985149271
forc_344	1.3908273920247758
forc_345	1.3850484097298927
forc_346	1.3825941176390866
forc_347	1.420615669686877
forc_348	1.4165694242819438
forc_349	1.395137646458752
forc_350	1.3604347147147209
forc_351	1.4123422102478698
forc_352	1.385820360908831
forc_353	1.3834697936517608
forc_354	1.3699287117182943
forc_355	1.4156413309982283
forc_356	1.388969734479681
forc_357	1.393700609102923
forc_358	1.4102061082269397
forc_359	1.398210283150969
forc_360	1.406672895282114
forc_361	1.3999329282285478
forc_362	1.3320554468602643
forc_363	1.3899238025300742
forc_364	1.3914667676781605
forc_365	1.3576006247854904
forc_366	1.3998966538799087
forc_367	1.3444105903090213
forc_368	1.385690408104238
forc_369	1.3833601846126111
forc_370	1.3892561439831221
forc_371	1.3949004949034625
forc_372	1.3675276295670722
forc_373	1.4160659390813088
forc_374	1.3756978799341537
forc_375	1.3972348549671187
forc_376	1.3791578910066933
forc_377	1.392335721179988
forc_378	1.4265445193958624
forc_379	1.4103117366575098
forc_380	1.3630713202906874
forc_381	1.4087789591226778
forc_382	1.3856618039180917
forc_383	1.3840762477571706
forc_384	1.352929436688455
forc_385	1.406660215298176
forc_386	1.4112682733691286
forc_387	1.386242247839206
forc_388	1.4334622884963233
forc_389	1.396313208408679
forc_390	1.380109963168024
forc_391	1.3285002962926638
forc_392	1.3722848462787287
forc_393	1.344548387689991
forc_394	1.3910020120830389
forc_395	1.3706892662224675
forc_396	1.3973416132293075
forc_397	1.3178476730067572
forc_398	1.3938305301159948
forc_399	1.4221063417621023
forc_400	1.36874479057365
forc_401	1.382262309471807
forc_402	1.3821714076041427
forc_403	1.3572776138394766
forc_404	1.394162533927677
forc_405	1.4191653643941406
forc_406	1.381845139807765
forc_407	1.3934914232900193
forc_408	1.3911130709184718
forc_409	1.3756780098953985
forc_410	1.428815867994677
forc_411	1.358519055984563
forc_412	1.3996327904301622
forc_413	1.3602540061250168
forc_414	1.3843679464086684
forc_415	1.3948441457088985
forc_416	1.4062687494895554
forc_417	1.4281959269671871
forc_418	1.322169137741256
forc_419	1.3644729131996316
forc_420	1.3982137866716928
forc_421	1.3705149721326866
forc_422	1.3616209721606434
forc_423	1.3782879128861143
forc_424	1.3872836673348967
forc_425	1.4297695206309233
forc_426	1.4113500559257321
forc_427	1.432618676371865
forc_428	1.328572351319554
forc_429	1.407956942037328
forc_430	1.3976655481713387
forc_431	1.3499509975431838
forc_432	1.3664203746738648
forc_433	1.3886848607950455
forc_434	1.3646618609464054
forc_435	1.3634324975181649
forc_436	1.3826636665241758
forc_437	1.3789785150899914
forc_438	1.3670796408940482
forc_439	1.3869371826070225
forc_440	1.3814245095147817
forc_441	1.3836957776180672
forc_442	1.4104482865784178
forc_443	1.3760324037716003
forc_444	1.3490822979859844
forc_445	1.3720693118231244
forc_446	1.3983735586449635
forc_447	1.3884665333225887
forc_448	1.3469835294458956
forc_449	1.3949069509513907
forc_450	1.3848414758838004
forc_451	1.4061154338800856
forc_452	1.354667466263396
forc_453	1.398740799031078
forc_454	1.396301454086271
forc_455	1.3861423912513864
forc_456	1.3924793387981356
forc_457	1.377388269000119
forc_458	1.365994290449284
forc_459	1.399811355677109
forc_460	1.3398165635159183
forc_461	1.3271828383852577
forc_462	1.3938042964172785
forc_463	1.390576810982515
forc_464	1.4214985808393592
forc_465	1.404321106395109
forc_466	1.3556701622986702
forc_467	1.3851153201734938
forc_468	1.4041312249206326
forc_469	1.3156013400964106
forc_470	1.3885349977331076
forc_471	1.4082571723175716
forc_472	1.390245312368808
forc_473	1.3521030106824967
forc_474	1.3240759465433214
forc_475	1.391851686220329
forc_476	1.3832937220541046
forc_477	1.330008554172494
forc_478	1.36696752958468
forc_479	1.3605288787921708
forc_480	1.3857441212670245
forc_481	1.3868895871318838
forc_482	1.4321106458305235
forc_483	1.4061541359284446
forc_484	1.3865115824272682
forc_485	1.3691985650349496
forc_486	1.3377941126513753
forc_487	1.355905279777821
forc_488	1.354632311920577
forc_489	1.3870602439306188
forc_490	1.3888595458643198
forc_491	1.373930475445842
forc_492	1.3780924103482735
forc_493	1.3828772263862326
forc_494	1.3236402388977333
forc_495	1.3710510708138464
forc_496	1.3249147742737215
forc_497	1.3894457688438506
forc_498	1.4096640315593698
forc_499	1.3832906351671863
forc_500	1.4048842710901808
avg_forc	1.1582958231058058
reinforce	1.1582958231058058
