Method	Value
forc_1	1.3229947177795554
forc_2	1.3520905035797517
forc_3	1.3077081106596307
forc_4	1.3224065329071653
forc_5	1.3916295944429118
forc_6	1.3238541214475497
forc_7	1.355041097888776
forc_8	1.3260259855948764
forc_9	1.3127305131783669
forc_10	1.3628060476161485
forc_11	1.294719379540933
forc_12	1.3441810468118056
forc_13	1.3611480502811815
forc_14	1.3571747753939085
forc_15	1.335472027671989
forc_16	1.3284236405668874
forc_17	1.3553225748427091
forc_18	1.3443240357026323
forc_19	1.3666229682323225
forc_20	1.296419673182814
forc_21	1.3152869052624456
forc_22	1.3131944797008828
forc_23	1.3002703335842865
forc_24	1.3360135232063903
forc_25	1.3215379153960132
forc_26	1.3506399426131772
forc_27	1.4014102567690059
forc_28	1.2921519489147941
forc_29	1.2859726951908772
forc_30	1.3095454823970876
forc_31	1.310196966468102
forc_32	1.3373257714334987
forc_33	1.3176538485959062
forc_34	1.3099775143831822
forc_35	1.324281303895149
forc_36	1.3417376181358494
forc_37	1.3135922989579576
forc_38	1.31449818316191
forc_39	1.3154163893630164
forc_40	1.329422969663296
forc_41	1.3663098822187392
forc_42	1.3474558549297693
forc_43	1.3663098891259855
forc_44	1.328655341333631
forc_45	1.3720154800531292
forc_46	1.34215137731279
forc_47	1.302360428351133
forc_48	1.3456289455882449
forc_49	1.3234820204074944
forc_50	1.3530235193221054
forc_51	1.3794195867586239
forc_52	1.3297989747741847
forc_53	1.3163681654762676
forc_54	1.3493407078326558
forc_55	1.3446934107594604
forc_56	1.3210195597541332
forc_57	1.2856668110042155
forc_58	1.3532283495870019
forc_59	1.310007354072073
forc_60	1.3317376100760407
forc_61	1.3410498640361008
forc_62	1.3566752841837615
forc_63	1.3663635491821562
forc_64	1.3228893163551771
forc_65	1.329373748020995
forc_66	1.3121780032727428
forc_67	1.3602264128573542
forc_68	1.3330451443009612
forc_69	1.387244702211526
forc_70	1.3357226150761778
forc_71	1.3294575729272184
forc_72	1.3646180312629899
forc_73	1.3065187680478927
forc_74	1.3307777517441644
forc_75	1.3607017122085676
forc_76	1.2998213905604867
forc_77	1.33066467436963
forc_78	1.3242042448311149
forc_79	1.322238173410749
forc_80	1.3869592799237576
forc_81	1.3204836783599625
forc_82	1.325983177831207
forc_83	1.2979874166727685
forc_84	1.3128402459677588
forc_85	1.3489251174390182
forc_86	1.3148747388505073
forc_87	1.3357852052720176
forc_88	1.3044849602710022
forc_89	1.3510360660545013
forc_90	1.3227944472972912
forc_91	1.3304999990444057
forc_92	1.3575535218504768
forc_93	1.345409535068181
forc_94	1.3464006031067133
forc_95	1.3306158339353669
forc_96	1.3361456179848437
forc_97	1.3434147367633984
forc_98	1.2968783239900927
forc_99	1.3331153905477005
forc_100	1.2945549452304421
forc_101	1.321139746120711
forc_102	1.2948183323763887
forc_103	1.3362889960017734
forc_104	1.3474458746904026
forc_105	1.384136987722915
forc_106	1.2879805016084194
forc_107	1.3218111246120543
forc_108	1.3508707231780621
forc_109	1.2978100055458375
forc_110	1.3585329601561893
forc_111	1.3514820157376193
forc_112	1.3430736330634878
forc_113	1.3154623025764915
forc_114	1.355962341931316
forc_115	1.2532417348404663
forc_116	1.3486625313552687
forc_117	1.3646991476968606
forc_118	1.3494580579913487
forc_119	1.4069365510466438
forc_120	1.3602543327257697
forc_121	1.3286618350077646
forc_122	1.4010387853561699
forc_123	1.314282808097257
forc_124	1.3059101156195563
forc_125	1.3546998080138812
forc_126	1.3243556796449587
forc_127	1.3184556866264852
forc_128	1.322146745798865
forc_129	1.3323418801868028
forc_130	1.3192844016995218
forc_131	1.327526567017164
forc_132	1.294326725716859
forc_133	1.3058824541413798
forc_134	1.344699933339584
forc_135	1.324048568936702
forc_136	1.397589044820136
forc_137	1.3635122652944962
forc_138	1.3446385854838685
forc_139	1.3429479628019894
forc_140	1.3327385295420329
forc_141	1.3643945741962318
forc_142	1.3407733706107512
forc_143	1.3346712755293588
forc_144	1.3313099436119475
forc_145	1.3287374336140572
forc_146	1.3407539798445394
forc_147	1.3322257705617062
forc_148	1.3802569002103808
forc_149	1.326665539542111
forc_150	1.3231367260098383
forc_151	1.3334110186259538
forc_152	1.325704939721876
forc_153	1.3213696798464838
forc_154	1.3299983414160501
forc_155	1.3363102956665085
forc_156	1.321844936771483
forc_157	1.3083056039228784
forc_158	1.348668510030808
forc_159	1.333579957386489
forc_160	1.3031686558124334
forc_161	1.365281442307878
forc_162	1.309095118610696
forc_163	1.3327079832906086
forc_164	1.3801377095069958
forc_165	1.299865575941547
forc_166	1.3311438598734806
forc_167	1.3150106973876505
forc_168	1.3304805517748086
forc_169	1.2998086363702328
forc_170	1.31364931166087
forc_171	1.3511432208454839
forc_172	1.2966464189763318
forc_173	1.362563382879402
forc_174	1.3156678359186773
forc_175	1.3559245397891668
forc_176	1.319471442088062
forc_177	1.3571167879284827
forc_178	1.3214665865702622
forc_179	1.355116025607926
forc_180	1.3240140136929701
forc_181	1.374043628311327
forc_182	1.3218030471426372
forc_183	1.29531386178307
forc_184	1.3356595064817778
forc_185	1.3522570879893931
forc_186	1.3052243228188753
forc_187	1.3254149431653206
forc_188	1.3463249793972916
forc_189	1.358175731584153
forc_190	1.3423936113188963
forc_191	1.3071036801502887
forc_192	1.33687683947786
forc_193	1.3232621847635546
forc_194	1.3182715964514242
forc_195	1.324235156653077
forc_196	1.3592861147384423
forc_197	1.3129404298583445
forc_198	1.3055241620035298
forc_199	1.3821956111622704
forc_200	1.309262253260677
forc_201	1.3624765375917585
forc_202	1.376279770384283
forc_203	1.308629347130013
forc_204	1.3376345084503665
forc_205	1.3525481183032901
forc_206	1.3428891406698595
forc_207	1.3389504186552303
forc_208	1.3678557307486114
forc_209	1.3373490962231858
forc_210	1.3224547682615169
forc_211	1.3395511550524357
forc_212	1.3843921401140076
forc_213	1.3013432673636993
forc_214	1.3549151455655064
forc_215	1.3088209819350567
forc_216	1.3537451607144264
forc_217	1.365829021779036
forc_218	1.3479832457250345
forc_219	1.349522891474218
forc_220	1.3591223785021396
forc_221	1.3350668924524935
forc_222	1.3542135930646269
forc_223	1.3244593528611697
forc_224	1.2982085789664228
forc_225	1.3578281364533658
forc_226	1.3154682877454655
forc_227	1.307950331622822
forc_228	1.3302383407306884
forc_229	1.3015175422340965
forc_230	1.3407990459843697
forc_231	1.3821092521134228
forc_232	1.354927572475284
forc_233	1.3406519893471025
forc_234	1.291539657129458
forc_235	1.3374802383568691
forc_236	1.29839939956561
forc_237	1.3670641818188924
forc_238	1.3558190521007227
forc_239	1.3066279219787258
forc_240	1.3132298040331776
forc_241	1.34309926394882
forc_242	1.3178833277636408
forc_243	1.3419958504670866
forc_244	1.3413027216532383
forc_245	1.335153437857508
forc_246	1.3210673483260624
forc_247	1.3249374813815773
forc_248	1.334767558016467
forc_249	1.3146216404926387
forc_250	1.34483259390593
forc_251	1.3547366507137253
forc_252	1.3367073315628073
forc_253	1.3020117074138366
forc_254	1.3212688895960418
forc_255	1.3529074823090383
forc_256	1.3198536765403395
forc_257	1.3527722792759989
forc_258	1.357755517781216
forc_259	1.3203222890956365
forc_260	1.331735319320048
forc_261	1.3497731883841237
forc_262	1.3720700434016884
forc_263	1.3466350772163103
forc_264	1.3551122512149854
forc_265	1.3065791607263197
forc_266	1.281016307552289
forc_267	1.3560497687317565
forc_268	1.320522932719034
forc_269	1.3360190791972804
forc_270	1.339573686489639
forc_271	1.349583497551468
forc_272	1.3218877155319428
forc_273	1.3439874724129621
forc_274	1.332050816348266
forc_275	1.3585642332474128
forc_276	1.3521339503911913
forc_277	1.331835461652448
forc_278	1.3188499914189027
forc_279	1.3487723658278241
forc_280	1.3311481293340148
forc_281	1.3293032043760775
