Method	Value
forc_1	1.375281773932604
forc_2	1.4105466991012705
forc_3	1.3665190022142257
forc_4	1.3871551609484687
forc_5	1.4290614760617484
forc_6	1.4093145089089594
forc_7	1.389095405603697
forc_8	1.4006969860582512
forc_9	1.3976793869674373
forc_10	1.4013785116960638
forc_11	1.435059917482941
forc_12	1.4070970681942387
forc_13	1.3753193787463236
forc_14	1.3778439143666674
forc_15	1.399058600343219
forc_16	1.4073604690026202
forc_17	1.3554261613553507
forc_18	1.392173389163983
forc_19	1.371682837610656
forc_20	1.4084600171164534
forc_21	1.356991196339335
forc_22	1.3599651900684966
forc_23	1.3705850426162827
forc_24	1.3415032459268008
forc_25	1.3758766361194608
forc_26	1.3957134632592512
forc_27	1.389693042139456
forc_28	1.3819133259332144
forc_29	1.3835491763613437
forc_30	1.337960006781259
forc_31	1.3886976774039685
forc_32	1.3650740646070048
forc_33	1.3672571279389047
forc_34	1.4064043597201978
forc_35	1.4160192097526498
forc_36	1.3853970726482805
forc_37	1.4104985855362726
forc_38	1.4353607404414896
forc_39	1.3318784440346911
forc_40	1.3864503519114277
forc_41	1.3809742778898755
forc_42	1.3600048493603678
forc_43	1.3963222359507168
forc_44	1.3905645435555987
forc_45	1.396809553219896
forc_46	1.4062763051563747
forc_47	1.3630324565076317
forc_48	1.3772025093490612
forc_49	1.3661013160153894
forc_50	1.3631654878860853
forc_51	1.3807877271225217
forc_52	1.3867783584844608
forc_53	1.3542377183589758
forc_54	1.3810831421997867
forc_55	1.353315122247211
forc_56	1.3755480172155916
forc_57	1.3802203598680267
forc_58	1.4001392736375664
forc_59	1.3725590311600575
forc_60	1.3773962882310875
forc_61	1.3749036874020628
forc_62	1.3470148001420539
forc_63	1.362195068401269
forc_64	1.41291738140974
forc_65	1.392843356732566
forc_66	1.3977014976507345
forc_67	1.3655181712912683
forc_68	1.4117699503740258
forc_69	1.3590664861121675
forc_70	1.389658850979128
forc_71	1.3974040194856696
forc_72	1.3902001749065915
forc_73	1.3871854796579839
forc_74	1.38122996084303
forc_75	1.397728919395193
forc_76	1.412383458901618
forc_77	1.3363876315939993
forc_78	1.374544375301227
forc_79	1.3705980448014832
forc_80	1.3858655250145901
forc_81	1.4122027852498529
forc_82	1.3718905498060334
forc_83	1.3560787680508173
forc_84	1.3662896194486303
forc_85	1.4107458950513347
forc_86	1.3330800258358944
forc_87	1.3849297498334077
forc_88	1.3905445422561453
forc_89	1.3869535605152243
forc_90	1.416954096466528
forc_91	1.3928420042030374
forc_92	1.446634743132174
forc_93	1.3622038092841704
forc_94	1.3666605681956576
forc_95	1.3986754895297817
forc_96	1.4242930282655692
forc_97	1.3609158588594366
forc_98	1.43085869684876
forc_99	1.4177541351038467
forc_100	1.406440516350037
forc_101	1.4114528715846708
forc_102	1.404202192151895
forc_103	1.383210378212667
forc_104	1.4050663487697113
forc_105	1.3954549418401712
forc_106	1.4082640994136053
forc_107	1.3907448906969153
forc_108	1.3410955040821937
forc_109	1.4021690783594962
forc_110	1.4404443005909144
forc_111	1.388285259264249
forc_112	1.4040708241916284
forc_113	1.3878117880616663
forc_114	1.3696823662518491
forc_115	1.3680717867487464
forc_116	1.4202985711141234
forc_117	1.3087650269715283
forc_118	1.3672589899697576
forc_119	1.3429654566394664
forc_120	1.3678060354651707
forc_121	1.3780127859943665
forc_122	1.3790760613467863
forc_123	1.413195817219148
forc_124	1.353480242871391
forc_125	1.4066139786414107
forc_126	1.388161935119227
forc_127	1.4361291596809298
forc_128	1.3959776755234492
forc_129	1.3426760885844133
forc_130	1.3864597575936735
forc_131	1.427085766175141
forc_132	1.367698878191384
forc_133	1.3930747057092707
forc_134	1.3868727537021115
forc_135	1.4027576475952381
forc_136	1.408130936651963
forc_137	1.3878536259789795
forc_138	1.3859640517705967
forc_139	1.40903375592616
forc_140	1.378813016615859
forc_141	1.3475757829829356
forc_142	1.3643957013436936
forc_143	1.367444905098498
forc_144	1.356506576950808
forc_145	1.4210940435447013
forc_146	1.3577571422721664
forc_147	1.3583338429774332
forc_148	1.3730781638600036
forc_149	1.3842209518294426
forc_150	1.4165990183064703
forc_151	1.4099378739975388
forc_152	1.3797019056596773
forc_153	1.3762775178012725
forc_154	1.3903613326715785
forc_155	1.3619181636878637
forc_156	1.3722892449557043
forc_157	1.3822606639569541
forc_158	1.3749927694611552
forc_159	1.372791270510531
forc_160	1.417670635942152
forc_161	1.382621925514585
forc_162	1.3487362781024523
forc_163	1.3620375927067654
forc_164	1.380747466500639
forc_165	1.398798460321634
forc_166	1.3868706406197837
forc_167	1.3963003851339746
forc_168	1.3757828017644866
forc_169	1.4385599174265584
forc_170	1.3774825658103982
forc_171	1.391221027047219
forc_172	1.3995565993475727
forc_173	1.3762863402632644
forc_174	1.3944271398716939
forc_175	1.357597634318562
forc_176	1.4227310605322387
forc_177	1.4302585305495172
forc_178	1.408848386580815
forc_179	1.3479766467680487
forc_180	1.40200652878948
forc_181	1.4352923772850958
forc_182	1.3743830880829138
forc_183	1.3655542004284213
forc_184	1.383746832959035
forc_185	1.4215535418184253
forc_186	1.3823945751880955
forc_187	1.4367513865591324
forc_188	1.396383892114619
forc_189	1.4036624466830179
forc_190	1.3734418833857291
forc_191	1.3570825129930333
forc_192	1.4066258783887855
forc_193	1.4221536960691004
forc_194	1.4056807682379753
forc_195	1.3347459124282073
forc_196	1.4192797876960872
forc_197	1.401362753248481
forc_198	1.3640941014341228
forc_199	1.4098087013771508
forc_200	1.3799152359393743
forc_201	1.43548632928511
forc_202	1.3901395547981383
forc_203	1.3603547492699768
forc_204	1.4164516109166188
forc_205	1.3801047492674217
forc_206	1.3928263122546403
forc_207	1.3750919539425999
forc_208	1.418447586963572
forc_209	1.421606306470058
forc_210	1.373047294960416
forc_211	1.3594014776001506
forc_212	1.3995549329899917
forc_213	1.38731464023092
forc_214	1.40135334380179
forc_215	1.3641218095823413
forc_216	1.434056987654629
forc_217	1.4284689206236263
forc_218	1.445912370022557
forc_219	1.3995381430407547
forc_220	1.4008364867792549
forc_221	1.391205733483156
forc_222	1.3989102217807885
forc_223	1.4129831037203757
forc_224	1.3662311942307128
forc_225	1.4047417841149539
forc_226	1.4012732062333073
forc_227	1.3335208951430033
forc_228	1.3913416443167332
forc_229	1.3691715442646168
forc_230	1.3841906232780523
forc_231	1.3684733268055935
forc_232	1.3247077195822339
forc_233	1.401960213055439
forc_234	1.354830691081818
forc_235	1.3930729617420314
forc_236	1.4151492022497136
forc_237	1.3915744754838784
forc_238	1.3904619863373564
forc_239	1.3506249892729254
forc_240	1.376494989489688
forc_241	1.4030741878852866
forc_242	1.402133238620152
forc_243	1.3793203197199568
forc_244	1.3757196508177523
forc_245	1.3721229718501227
forc_246	1.4362028266062208
forc_247	1.3740029530889992
forc_248	1.3780724251845897
forc_249	1.4102929168611984
forc_250	1.3999806504589243
forc_251	1.3686049490084367
forc_252	1.3874068726123021
forc_253	1.433627077889651
forc_254	1.3600940813887872
forc_255	1.387069256194413
forc_256	1.3811133249013205
forc_257	1.395195965565249
forc_258	1.3656227596712218
forc_259	1.401273593262208
forc_260	1.3814244002774732
forc_261	1.385496869497393
forc_262	1.3896667729224792
forc_263	1.3656980523826017
forc_264	1.4173904396754682
forc_265	1.387058751421554
forc_266	1.3870658644770568
forc_267	1.3869116710392497
forc_268	1.4017093300746384
forc_269	1.410465181920198
forc_270	1.4095812618580261
forc_271	1.371526433813347
forc_272	1.3847718872150523
forc_273	1.409226155481796
forc_274	1.333256068292979
forc_275	1.4392980179933006
forc_276	1.4070382611278325
forc_277	1.3921894791847067
forc_278	1.367384234324999
forc_279	1.4082386710824433
forc_280	1.4308596450170596
forc_281	1.4021920488120097
forc_282	1.3715159619305237
forc_283	1.357247829672899
forc_284	1.3310291035795458
forc_285	1.3732557963619163
forc_286	1.3541204786534349
forc_287	1.3610597607933652
forc_288	1.415841581200323
forc_289	1.4046247185593645
forc_290	1.3631906997550338
forc_291	1.4140162520163633
forc_292	1.3835897542594375
forc_293	1.3706931259581279
forc_294	1.3539558778822331
forc_295	1.3433582455942272
forc_296	1.4000418000788886
forc_297	1.339593446275886
forc_298	1.3323577220648835
forc_299	1.3947679053851185
forc_300	1.3430322922666043
forc_301	1.3677519329583114
forc_302	1.389793668767892
forc_303	1.392984682925427
forc_304	1.3997757313460533
forc_305	1.395222451399819
forc_306	1.411853049660509
forc_307	1.3819325765210486
forc_308	1.365943739684928
forc_309	1.3544627456260023
forc_310	1.386493264660311
forc_311	1.424533391777206
forc_312	1.4396287808406734
forc_313	1.3937503311818424
forc_314	1.3918276341468967
forc_315	1.3744618613007045
forc_316	1.3733917530657267
forc_317	1.406469541246431
forc_318	1.4045959184714991
forc_319	1.381154207666809
forc_320	1.4025500233019323
forc_321	1.397135295880378
forc_322	1.377354688253376
forc_323	1.3997849870741241
forc_324	1.3298592675256546
forc_325	1.3705181583586485
forc_326	1.3876482127177785
forc_327	1.4007447534347064
forc_328	1.3876717081242707
forc_329	1.3817046582324064
forc_330	1.3748149610820046
forc_331	1.3496460350285577
forc_332	1.348181970114166
forc_333	1.377807809799772
forc_334	1.3972207146233384
forc_335	1.3927877991451463
forc_336	1.3745399360018378
forc_337	1.3561290823378986
forc_338	1.3538988820278965
forc_339	1.394934573912325
forc_340	1.349229179015944
forc_341	1.3899625347962814
forc_342	1.3994869069326517
forc_343	1.3736663826471074
forc_344	1.399087561691546
forc_345	1.4228690449981607
forc_346	1.3593716453848717
forc_347	1.389260521575404
forc_348	1.4465266234542091
forc_349	1.4033511008724948
forc_350	1.3899018787007296
forc_351	1.4235562846014136
forc_352	1.3812355817853808
forc_353	1.3926535025385378
forc_354	1.3913092504536118
forc_355	1.3894097422951213
forc_356	1.3907498319785698
forc_357	1.4446710720023772
forc_358	1.4126822961714989
forc_359	1.3537598636110857
forc_360	1.3457832974903012
forc_361	1.3766947012119617
forc_362	1.4077699624056828
forc_363	1.3786523587147717
forc_364	1.3978239846497162
forc_365	1.4318768564748219
forc_366	1.4174480881761222
forc_367	1.3862126411638584
forc_368	1.4289438131523997
forc_369	1.3656039482631679
forc_370	1.3983703745304652
forc_371	1.3626180426133887
forc_372	1.371830693950743
forc_373	1.3697431635809754
forc_374	1.396552671102407
forc_375	1.3868197205289163
forc_376	1.3558316846352896
forc_377	1.3591872970473484
forc_378	1.4043413765204675
forc_379	1.4185842105060469
forc_380	1.4072524789798788
forc_381	1.3877591031168655
forc_382	1.4031615851477304
forc_383	1.3903721289096784
forc_384	1.3817504691324152
forc_385	1.3626017327774236
forc_386	1.4189136090918315
forc_387	1.38688874640404
forc_388	1.3678422453321368
forc_389	1.4308228044317497
forc_390	1.4518028634138567
forc_391	1.3971786753289674
forc_392	1.4035037775787558
forc_393	1.3734776168141454
forc_394	1.3754765744755808
forc_395	1.4169555528901048
forc_396	1.3965985961333247
forc_397	1.3987307244987295
forc_398	1.4406970648308226
forc_399	1.3775389861410405
forc_400	1.4356141913683227
forc_401	1.4162474877175553
forc_402	1.403977729904842
forc_403	1.357370234864416
forc_404	1.394547871456327
forc_405	1.4012386079985093
forc_406	1.3812019863593261
forc_407	1.4012086949554987
forc_408	1.4274184430930594
forc_409	1.3916790088256168
forc_410	1.3990818709067636
forc_411	1.4093496586564909
forc_412	1.4023824838035273
forc_413	1.4248006163847826
forc_414	1.4006158685733239
forc_415	1.3972890409397862
forc_416	1.3667492659901777
forc_417	1.4128221530867289
forc_418	1.4038140374565131
forc_419	1.3676123570537766
forc_420	1.3952390234987921
forc_421	1.4240099696379216
forc_422	1.382617523726523
forc_423	1.406311889212574
forc_424	1.402197063520595
forc_425	1.3439430069577398
forc_426	1.41185144202953
forc_427	1.3520487168668862
forc_428	1.3447559888375156
forc_429	1.4256805897167153
forc_430	1.4560471394590184
forc_431	1.4552537359506637
forc_432	1.3655820058833932
forc_433	1.3640017629579007
forc_434	1.438805828229035
forc_435	1.4245394382257797
forc_436	1.4244134116877891
forc_437	1.4108696062323478
forc_438	1.3798590680283773
forc_439	1.3872443565088235
forc_440	1.3812176506788199
forc_441	1.3878561253450266
forc_442	1.3745696415206723
forc_443	1.3761556773586239
forc_444	1.4141968348799527
forc_445	1.3707344628447855
forc_446	1.3476510885406634
forc_447	1.371545448470805
forc_448	1.37960137019496
forc_449	1.3945066149579166
forc_450	1.3968399972177508
forc_451	1.4226057960785181
forc_452	1.3815067385729713
forc_453	1.3709441916186393
forc_454	1.4181939653148812
forc_455	1.4295069716896114
forc_456	1.3597917351483815
forc_457	1.41713852281676
forc_458	1.3946163165250298
forc_459	1.3922840469604378
forc_460	1.3798030853391399
forc_461	1.3565072151218875
forc_462	1.36429487812653
forc_463	1.3893755747572716
forc_464	1.4071104106571715
forc_465	1.3842799262969758
forc_466	1.350288632121213
forc_467	1.3886902711988345
forc_468	1.3972756986743189
forc_469	1.4212807503795868
forc_470	1.33625967693355
forc_471	1.3460509380077215
forc_472	1.3701947313842533
forc_473	1.3783209545096673
forc_474	1.3817141739078775
forc_475	1.4000876527852197
forc_476	1.4092639169280012
forc_477	1.3903185675057628
forc_478	1.383523800879467
forc_479	1.4049871187773122
forc_480	1.425872275340768
forc_481	1.3575660147425974
forc_482	1.3938556773062916
forc_483	1.3698209639383438
forc_484	1.3816171967639128
forc_485	1.414886253696695
forc_486	1.380194208042294
forc_487	1.3864129150005164
forc_488	1.3756182919222086
forc_489	1.434721202095237
forc_490	1.4035370563100713
forc_491	1.3651379267800283
forc_492	1.407540894777939
forc_493	1.3851354406384933
forc_494	1.4172401631884723
forc_495	1.3930508373595007
forc_496	1.3884742089286082
forc_497	1.3824374295008752
forc_498	1.3822104541981641
forc_499	1.3640120610176787
forc_500	1.4054296976243954
avg_forc	1.1589611969956068
reinforce	1.1589611969956068
