Method	Value
forc_1	3.3450228737709624
forc_2	3.2657293938101013
forc_3	3.1515763135878303
forc_4	3.450124712539087
forc_5	3.375431176186899
forc_6	3.2755386717168404
forc_7	3.351896866918009
forc_8	3.246557438944514
forc_9	3.452686133853067
forc_10	3.2830326995538104
forc_11	3.3773369382782943
forc_12	3.218732752640989
forc_13	3.3498794543780144
forc_14	3.058200137270318
forc_15	3.2622952642690577
forc_16	3.3629375186619614
forc_17	3.261706238794842
forc_18	3.4199098884521875
forc_19	3.273250516530862
forc_20	3.5051454274199516
forc_21	3.297906794731136
forc_22	3.129204350781222
forc_23	3.2264110130932133
forc_24	3.2863371596190314
forc_25	3.2525293917334546
forc_26	3.3108021225728104
forc_27	3.17297265927882
forc_28	3.256157095775238
forc_29	3.2386429791332527
forc_30	3.2746275618757594
forc_31	3.304377013643444
forc_32	3.2811619926319957
forc_33	3.1559293255207437
forc_34	3.1539040013836863
forc_35	3.4070145109962784
forc_36	3.4813167883367733
forc_37	3.1426230551725163
forc_38	3.3799386146885793
forc_39	3.511448894387501
forc_40	3.0242884359591313
forc_41	3.185475728164917
forc_42	3.1483046703361883
forc_43	3.447882756688526
forc_44	3.128082422958041
forc_45	3.5112606347085866
forc_46	3.225601481251155
forc_47	3.3882101817853507
forc_48	3.3184986701308277
forc_49	3.23616204401185
forc_50	3.2147749082496384
forc_51	3.4331064171781147
forc_52	3.2408566665447647
forc_53	3.446087920871015
forc_54	3.2993226791649146
forc_55	3.1757181111003874
forc_56	3.07892495473637
forc_57	3.1521988414530737
forc_58	3.1696162091401754
forc_59	3.4812464626223107
forc_60	3.2515252263965158
forc_61	3.471571812487472
forc_62	3.455974331346656
forc_63	3.299548032112366
forc_64	3.319835443090919
forc_65	3.1068504279436877
forc_66	3.2038520420186756
forc_67	3.505761379028241
forc_68	3.1234915629736526
forc_69	3.40083926531918
forc_70	3.2860159332122696
forc_71	3.1919437131795383
forc_72	3.345412507705323
forc_73	3.482535113583593
forc_74	3.4623110912601662
forc_75	3.200292021128958
forc_76	3.2050510507632315
forc_77	3.223729723815373
forc_78	3.272413827303495
forc_79	3.389643611766256
forc_80	3.3352886236392516
forc_81	3.383720817826383
forc_82	3.255140012919539
forc_83	3.401045724218693
forc_84	3.3066468254470935
forc_85	3.2512719890142665
forc_86	3.265312753714619
forc_87	3.3127013738681965
forc_88	3.472240837452756
forc_89	3.6231498687501245
forc_90	3.3447433567710783
forc_91	3.356465870500313
forc_92	3.2719776860105783
forc_93	3.257605109797014
forc_94	3.390906714401642
forc_95	3.2045274328479647
forc_96	3.2660822349068503
forc_97	3.3860707773794374
forc_98	3.373820681312887
forc_99	3.5783615686003127
forc_100	3.4056986552759785
forc_101	3.4770478934821556
forc_102	3.2954005371968407
forc_103	3.418168736112805
forc_104	3.345189462926386
forc_105	3.434735163727126
forc_106	3.1986653820857898
forc_107	3.379750752068036
forc_108	3.2705708660265866
forc_109	3.3320746852049
forc_110	3.1677047869215307
forc_111	3.335851820706465
forc_112	3.166907578327395
forc_113	3.36454911140827
forc_114	3.3754257472262457
forc_115	3.349971090541286
forc_116	3.1045249933691865
forc_117	3.2889142230846713
forc_118	3.384446572977536
forc_119	3.3465840782639487
forc_120	3.35526795304366
forc_121	3.454070967299109
forc_122	3.239976570527896
forc_123	3.5545273201403718
forc_124	3.376816361503274
forc_125	3.208938159468901
forc_126	3.386620770761861
forc_127	3.1629032731983666
forc_128	3.2443866794966056
forc_129	3.635090204697727
forc_130	3.16520623796589
forc_131	2.916230686867217
forc_132	3.0986946167087677
forc_133	3.3193903259337487
forc_134	3.5310180993938576
forc_135	3.221044344782428
forc_136	3.379268053128645
forc_137	3.4042185077664593
forc_138	3.4561743449866396
forc_139	3.4076033947511677
forc_140	3.388662831784404
forc_141	3.145156566968462
forc_142	3.048835984119937
forc_143	3.125611932172367
forc_144	3.289702228269397
forc_145	3.1151947963643676
forc_146	3.4284813082598906
forc_147	3.3157570043788906
forc_148	3.3424451055127493
forc_149	3.168541875744908
forc_150	3.324286795610687
forc_151	3.1302961089454313
forc_152	3.195269471921062
forc_153	3.2507486576433267
forc_154	3.5437525628881223
forc_155	3.544526463672086
forc_156	3.4439092512264335
forc_157	3.216610561492565
forc_158	3.3840799771860777
forc_159	3.4838668327681885
forc_160	3.4374017582127134
forc_161	3.6190975083434287
forc_162	3.298389157126417
forc_163	3.1130468464192727
forc_164	3.35739891114483
forc_165	3.5016146118622147
forc_166	3.1840086394133986
forc_167	3.1545019712070643
forc_168	3.2568592656023263
forc_169	3.2954966123230895
forc_170	3.1703157782063287
forc_171	3.2065604851918317
forc_172	3.189807259643779
forc_173	3.1199453941489437
forc_174	3.280826771740172
forc_175	3.141433564028399
forc_176	3.271956644338275
forc_177	3.265910416158851
forc_178	3.3810974609133924
forc_179	3.3568250782776956
forc_180	3.315177498009101
forc_181	3.2211917604325815
forc_182	3.267932261715733
forc_183	3.1497065373032567
forc_184	3.2068391155426723
forc_185	3.380406137596973
forc_186	3.2476119921826845
forc_187	3.2445392392163757
forc_188	3.2412767098406903
forc_189	3.2742175763648245
forc_190	3.341077422104812
forc_191	3.3016745341795186
forc_192	3.4878996158910067
forc_193	3.477102144662225
forc_194	3.2270927886512344
forc_195	3.432044588829293
forc_196	3.5018225763667052
forc_197	3.1101658482234367
forc_198	3.464272344069133
forc_199	3.3290146151721394
forc_200	3.1071963763341954
forc_201	3.211140041754828
forc_202	3.2920786871131744
forc_203	3.306675358534794
forc_204	3.3485395775630256
forc_205	3.2219138855551974
forc_206	3.187001858006565
forc_207	3.492848959970264
forc_208	3.204785501786361
forc_209	3.2279137083209872
forc_210	3.120620715402571
forc_211	3.1803454000614853
forc_212	3.221430391451045
forc_213	3.282974523164131
forc_214	3.4700794834400446
forc_215	3.2553533294593024
forc_216	3.2542278132163673
forc_217	3.1181411934515593
forc_218	3.1052834162581147
forc_219	3.407381303051411
forc_220	3.2081515036239328
forc_221	3.2662863544726233
forc_222	3.4473279919818753
forc_223	3.3819165087753755
forc_224	3.35320112403499
forc_225	3.3689715050179325
forc_226	3.4639407289277413
forc_227	3.2782847825650854
forc_228	3.2764867259417536
forc_229	3.2179040041887443
forc_230	3.3694816119663997
forc_231	3.325517873036993
forc_232	3.354488167476612
forc_233	3.357705590655252
forc_234	3.1191983558032583
forc_235	3.318148532981617
forc_236	3.5062545523180355
forc_237	3.314086446121664
forc_238	3.4370751608698487
forc_239	3.474828446798392
forc_240	3.330532809628284
forc_241	3.5044942762186513
forc_242	3.298046652040483
forc_243	3.127824612698496
forc_244	3.199597747889845
forc_245	3.3303313830482417
forc_246	3.3069227496922506
forc_247	3.3381844695692404
forc_248	3.12436730181337
forc_249	3.4233913317982054
forc_250	3.288625451024301
forc_251	3.09484642100155
forc_252	3.225937745726688
forc_253	3.4081273567003705
forc_254	3.1916300669329574
forc_255	3.3507253896733507
forc_256	3.2976587834228774
forc_257	3.4595985845047714
forc_258	3.369942185673109
forc_259	3.507555721880308
forc_260	3.137476231316929
forc_261	3.3342233073514373
forc_262	3.3513356659290388
forc_263	2.990243734960128
forc_264	3.2247112155709914
forc_265	3.433584253186571
forc_266	3.392434516938526
forc_267	3.373551516205321
forc_268	3.2254967349630475
forc_269	3.476508087694479
forc_270	3.3566917772955702
forc_271	3.6682799773494352
forc_272	3.3774738216819147
forc_273	3.392623124507976
forc_274	3.118151296828555
forc_275	3.206049213976807
forc_276	3.4102694817454116
forc_277	3.3595991591858243
forc_278	3.273078557392792
forc_279	3.446596571476504
forc_280	3.0689858263064784
forc_281	3.3637391069644806
forc_282	3.400909491064846
forc_283	3.255119545180778
forc_284	3.1686000500031968
forc_285	3.4806723001630244
forc_286	3.1816418311027337
forc_287	3.1429007622626104
forc_288	3.292144845605049
forc_289	3.447268379909292
forc_290	3.3167780699541436
forc_291	3.481579594611882
forc_292	3.3505555721618405
forc_293	3.495310657328537
forc_294	3.303931012429289
forc_295	3.3522915037797074
forc_296	3.257696040248608
forc_297	3.406268399980978
forc_298	3.1106733763188905
forc_299	3.105901037567612
forc_300	3.3633308499570598
forc_301	3.404602459926598
forc_302	3.3187528303978238
forc_303	3.417240267561383
forc_304	3.4397107442821824
forc_305	3.4643718176988036
forc_306	3.3082791309359316
forc_307	3.313149005660906
forc_308	3.354769953313937
forc_309	3.377624648709127
forc_310	3.4792980980165673
forc_311	3.470401807629204
forc_312	3.244560258920091
forc_313	3.231828300695933
forc_314	3.3852002458334787
forc_315	3.104313687943121
forc_316	3.187698016962344
forc_317	3.3726027538268912
forc_318	3.2210436073091424
forc_319	3.189497203090515
forc_320	3.1937845915467995
forc_321	3.1800782111937185
forc_322	3.2666393897003623
forc_323	3.213467541153698
forc_324	3.133703847155968
forc_325	3.156648911325046
forc_326	3.3403694425746346
forc_327	3.2262440653336837
forc_328	3.4516976816975338
forc_329	3.501323342770114
forc_330	3.2090845762036455
forc_331	3.307049888275653
forc_332	3.167175672263605
forc_333	3.3526784228796735
forc_334	3.1750043815312945
forc_335	3.009220592303946
forc_336	3.2021217408183444
forc_337	3.1249121982673898
forc_338	3.2075570274364686
forc_339	3.233379644743704
forc_340	3.258478351838244
forc_341	3.3617594460041405
forc_342	3.398530161460112
forc_343	3.418382435460419
forc_344	3.3390025979357527
forc_345	3.118281800087163
forc_346	3.219442947951062
forc_347	3.2641548698761014
forc_348	3.3340022997211887
forc_349	3.416642088622955
forc_350	3.1326274876660634
forc_351	3.205483400676584
forc_352	3.367804770453051
forc_353	3.404668693561546
forc_354	3.4512322828866964
forc_355	3.056321794590434
forc_356	3.1954677956083266
forc_357	3.256271837447411
forc_358	3.1901803201661707
forc_359	3.316676956703898
forc_360	3.475297979184304
forc_361	3.3777515272221335
forc_362	3.4120123675010827
forc_363	3.39332687075832
forc_364	3.1103359288691235
forc_365	3.2042634334997144
forc_366	3.252065640492202
forc_367	3.240869742011571
forc_368	3.4027222990536177
forc_369	3.425550212405332
forc_370	3.168729236361457
forc_371	3.286290976030525
forc_372	3.3654062387923185
forc_373	3.2568106204541025
forc_374	3.4783686799603974
forc_375	3.1713214674859467
forc_376	3.4206774587442257
forc_377	3.4602528959600325
forc_378	3.262047874670169
forc_379	3.2816289790050157
forc_380	3.531998861407133
forc_381	3.3588678548186435
forc_382	3.5039697386536868
forc_383	3.299054718985559
forc_384	3.305767274472065
forc_385	3.1703602451561386
forc_386	3.609344729013511
forc_387	3.0469475008988276
forc_388	2.9586208002068735
forc_389	3.21903780772596
forc_390	3.2050474597375818
forc_391	3.2927760970080646
forc_392	3.209529049502635
forc_393	3.3530348629947446
forc_394	3.3977112488253924
forc_395	3.255747944817663
forc_396	3.32762959626482
forc_397	3.2211726706497745
forc_398	3.4036395721710524
forc_399	3.2361724776881307
forc_400	3.4438304534764796
forc_401	3.353661506109519
forc_402	3.141405647540834
forc_403	3.2175070424325587
forc_404	3.2854909347798693
forc_405	3.3488395987809993
forc_406	3.0668962282342664
forc_407	3.190864770264283
forc_408	3.222191783453625
forc_409	3.1692822280900557
forc_410	3.3151628552480457
forc_411	3.1516859614811774
forc_412	3.3174836080608014
forc_413	3.288836594613924
forc_414	3.261912447816364
forc_415	3.4469912317322193
forc_416	3.2808339253151395
forc_417	3.293867422226532
forc_418	3.253255718756221
forc_419	3.0858631113364594
forc_420	3.2732073642870283
forc_421	3.197591422985898
forc_422	3.2775636174249034
forc_423	3.343580827624345
forc_424	3.273635520549524
forc_425	3.074148486911065
forc_426	3.2134888270789026
forc_427	3.3962830221959575
