Method	Value
forc_1	2.962583053948429
forc_2	2.894507026411738
forc_3	2.926818266881924
forc_4	2.8307957173104
forc_5	2.7712074371080853
forc_6	2.9166999699687697
forc_7	2.815633873885532
forc_8	2.8948359897959044
forc_9	2.840496981109122
forc_10	2.9805809417580726
forc_11	3.01071394669826
forc_12	2.915561983042087
forc_13	3.1212736674519386
forc_14	2.975513838420756
forc_15	2.797207625732135
forc_16	2.788366469873934
forc_17	2.738641943819047
forc_18	3.1152171917108857
forc_19	2.8999020947100256
forc_20	3.0697990205425443
forc_21	2.899385917333009
forc_22	2.8197138437562383
forc_23	2.8148719695632662
forc_24	2.8118029895433927
forc_25	2.938253643585027
forc_26	2.9419188121253077
forc_27	2.7993261270150236
forc_28	3.000291439047179
forc_29	2.9971824172776547
forc_30	2.9004397250644494
forc_31	2.8528963651913353
forc_32	2.9316898911173204
forc_33	2.933492949193014
forc_34	2.8619655843762333
forc_35	2.786359086923522
forc_36	3.041853583890507
forc_37	2.9414889019827983
forc_38	2.930692736101137
forc_39	2.9597083689908605
forc_40	3.003459163274243
forc_41	2.9310149093798605
forc_42	2.884380223130859
forc_43	2.914456575528888
forc_44	2.841744022760726
forc_45	3.015620519211453
forc_46	2.809937609271666
forc_47	2.908293443889509
forc_48	2.9909968519124464
forc_49	3.085433446442612
forc_50	2.932994651281826
forc_51	2.8367568116308557
forc_52	2.763370098718915
forc_53	2.7950894858160784
forc_54	2.984096696761399
forc_55	3.0350566420788745
forc_56	2.879441912322878
forc_57	2.79208090410969
forc_58	3.0960047616298705
forc_59	2.7927122665208652
forc_60	2.840964035019266
forc_61	2.72206233550967
forc_62	2.8940485409125025
forc_63	2.7929959142981318
forc_64	2.9913601619062917
forc_65	3.0200346964317193
forc_66	2.8363281278105923
forc_67	2.914247604587206
forc_68	2.9790857663528714
forc_69	2.8159153996359714
forc_70	2.787138796935423
forc_71	2.954192274198495
forc_72	2.970099615333236
forc_73	2.7658620677596213
forc_74	3.005529836594584
forc_75	2.9434771456246454
forc_76	2.8883215726400744
forc_77	2.8511530718299847
forc_78	3.0451363593205554
forc_79	2.8204919614440036
forc_80	2.9195342315106236
forc_81	2.913220105156704
forc_82	2.8609937951676763
forc_83	2.960587277298655
forc_84	2.942626648734261
forc_85	2.8996598412803567
forc_86	2.971082862798544
forc_87	2.831608741598395
forc_88	2.8179492135598974
forc_89	3.007871301448942
forc_90	2.8263318015869885
forc_91	3.011146478922416
forc_92	2.837115015466535
forc_93	2.8208605392255586
forc_94	2.9663202575484657
forc_95	2.8400567922518207
forc_96	2.8082812374701227
forc_97	2.9183400562329784
forc_98	2.9655548854123306
forc_99	3.004766829835411
forc_100	3.0693377001792412
forc_101	3.0472005490814196
forc_102	2.808762177746139
forc_103	2.96085976824133
forc_104	2.9835985945335706
forc_105	2.893704569977215
forc_106	2.724762513305758
forc_107	2.937732360288715
forc_108	2.9247575369257395
forc_109	2.859237563029231
forc_110	2.8621230900930854
forc_111	2.8722267756635427
forc_112	2.9629167784662442
forc_113	2.8768664245903404
forc_114	2.7460955087250083
forc_115	2.940563383718199
forc_116	2.824804306510934
forc_117	2.909676493491464
forc_118	2.995702404934888
forc_119	2.9801063359730606
forc_120	2.9732636233102556
forc_121	3.0475157899597933
forc_122	2.994076723115296
forc_123	2.964800751285354
forc_124	2.894942829444133
forc_125	2.8517105967280187
forc_126	2.9548508251200536
forc_127	2.900856224277754
forc_128	2.6669038739273008
forc_129	2.870093968455775
forc_130	2.9252278632753788
forc_131	2.9399379098876057
forc_132	3.0956466603028234
forc_133	2.8852585300331053
forc_134	2.9537574848802857
forc_135	3.023585877226866
forc_136	2.856578724650035
forc_137	2.995266844512698
forc_138	2.8287637121356877
forc_139	3.1763602811283427
forc_140	2.9024436864442698
forc_141	3.075604424920757
forc_142	2.8905885721017803
forc_143	2.7184830553353088
forc_144	2.8230868554327775
forc_145	3.0038803809510917
forc_146	2.929777306474048
forc_147	2.914544673257095
forc_148	2.962651029297977
forc_149	2.9133904531392436
forc_150	2.9469157311700016
forc_151	2.943577204934065
forc_152	2.7261069614049847
forc_153	2.960586399982101
forc_154	2.9868362760628715
forc_155	3.005032993509643
forc_156	2.990961619327446
forc_157	2.9691363438834757
forc_158	3.113169004615662
forc_159	2.961216084577748
forc_160	3.087128494049296
forc_161	2.7439689732510852
forc_162	2.868288471791588
forc_163	2.9051129515646616
forc_164	2.9289426654614563
forc_165	2.8113381380156754
forc_166	2.9194096775055844
forc_167	2.720597928897332
forc_168	3.030765435937196
forc_169	2.8683134064356373
forc_170	2.9386626783897865
forc_171	2.9422634930863594
forc_172	2.785124747007786
forc_173	3.032433214688378
forc_174	2.979493754715148
forc_175	3.1064016791238784
forc_176	2.919613316544869
forc_177	2.9876880524012837
forc_178	2.876327483570102
forc_179	3.1774519728087216
forc_180	2.9213102412825425
forc_181	3.0257266775633465
forc_182	2.7039082231817284
forc_183	3.0182300293037385
forc_184	3.0662323705658325
forc_185	2.9983394362859133
forc_186	2.765223450351659
forc_187	2.8340650722399197
forc_188	2.836252626101158
forc_189	2.875468544039683
forc_190	2.8976069957162656
forc_191	2.895446708281475
forc_192	2.87679786566606
forc_193	2.800747623502663
forc_194	2.965619394043665
forc_195	2.96161449529059
forc_196	2.762000145772795
forc_197	2.792475454085671
forc_198	2.8565641568467215
forc_199	2.8056177337715598
forc_200	2.804459054651168
forc_201	2.894933205501629
forc_202	2.7652893461864756
forc_203	2.847254481883829
forc_204	2.97918372423518
forc_205	2.9650031175526532
forc_206	2.8765059710845535
forc_207	2.9139723666212083
forc_208	2.860936647226757
forc_209	3.053547811947869
forc_210	2.787092595404725
forc_211	2.862593442755611
forc_212	3.0143413404669825
forc_213	2.856483622986917
forc_214	3.0098443610697734
forc_215	2.855308770258541
forc_216	2.789889416482447
forc_217	3.0116388311294284
forc_218	2.7687702196845834
forc_219	3.051571667457174
forc_220	2.9335911284317913
forc_221	2.934474944724265
forc_222	2.8288879580137745
forc_223	2.9829610029365177
forc_224	2.906731158783137
forc_225	2.8723793056015063
forc_226	2.952680659986666
forc_227	3.0626917422788265
forc_228	3.07292347532734
forc_229	2.8923552042922642
forc_230	2.9214479788197787
forc_231	2.996477754798548
forc_232	2.8571795194549567
forc_233	2.8558684908058423
forc_234	2.822263152641023
forc_235	2.984544925666202
forc_236	2.6726165974153293
forc_237	2.8426764503276667
forc_238	2.7192359948493117
forc_239	2.8592636810325036
forc_240	2.962369446213593
forc_241	3.0414073704319016
forc_242	2.825937712446901
forc_243	2.941840583263464
forc_244	2.952725279307231
forc_245	3.171679490426294
forc_246	3.161671943040793
forc_247	2.9042262489249313
forc_248	2.878596253887502
forc_249	2.8336460334709748
forc_250	2.8605529796831624
forc_251	2.8935722916241478
forc_252	2.941818038737391
forc_253	2.9490756399223166
forc_254	2.890895734098576
forc_255	2.977939617865012
forc_256	2.8169903333982216
forc_257	2.9233438632937925
forc_258	3.0435483260486436
forc_259	3.0367230267194887
forc_260	2.904558762599453
forc_261	2.9900052649136586
forc_262	3.044608926601127
forc_263	2.9744074567517007
forc_264	2.9918839313895984
forc_265	2.9873494844806605
forc_266	2.9522391358859674
forc_267	2.9233780659254798
forc_268	2.9967852630961374
forc_269	2.8264473074211787
forc_270	2.867668590012041
forc_271	2.6760756457337873
forc_272	2.918604306368117
forc_273	2.9963497833140056
forc_274	2.9658293499178954
forc_275	2.9253825993478504
forc_276	2.734523438995772
forc_277	2.835316318498823
forc_278	2.8604250655840926
forc_279	2.7903004348438745
forc_280	2.8311311448755903
forc_281	3.0172245090011796
forc_282	2.8537114612059113
forc_283	2.6973753029543883
forc_284	2.8193097127047917
forc_285	2.945939400268359
forc_286	2.9322456929107394
forc_287	2.8964629846609213
forc_288	2.833752720137846
forc_289	3.0176431417248213
forc_290	3.0919409631695522
forc_291	3.1260087663872804
forc_292	2.8943978594675546
forc_293	2.8940146619389755
forc_294	2.960038816544053
forc_295	2.818156278609448
forc_296	2.8572489020545473
forc_297	2.9997610884703043
forc_298	2.7228743338761734
forc_299	3.0526082226247198
forc_300	2.9049554607265127
forc_301	3.1115521124354615
forc_302	2.88730210627862
forc_303	2.9118679231514992
forc_304	2.801107464938547
forc_305	2.8240517538001324
forc_306	2.8096744448989526
forc_307	3.0772134125347907
forc_308	2.899262088301695
forc_309	2.893784479004256
forc_310	2.909898837163689
forc_311	2.8317223010507595
forc_312	2.8072593722798853
forc_313	2.902471008018946
forc_314	2.8150766244236856
forc_315	2.9292601919621744
forc_316	2.938901507625783
forc_317	2.7176492740133846
