Method	Value
forc_1	1.4168239320221094
forc_2	1.4123597809465709
forc_3	1.3939312077729475
forc_4	1.3820815175202046
forc_5	1.4070860519741695
forc_6	1.4232150323607897
forc_7	1.4362381031820226
forc_8	1.4794729022647501
forc_9	1.4297364721995953
forc_10	1.4664916199506994
forc_11	1.3885816270655833
forc_12	1.4142720169099872
forc_13	1.4224048634562814
forc_14	1.4332053348804905
forc_15	1.4092862675788438
forc_16	1.425453090004844
forc_17	1.4934154730085554
forc_18	1.419926506023403
forc_19	1.4272500225272302
forc_20	1.3994093763086253
forc_21	1.4393469118695326
forc_22	1.364336671794662
forc_23	1.4372186681484305
forc_24	1.4707095678231326
forc_25	1.4401993006589036
forc_26	1.4166638867825765
forc_27	1.4455629504858047
forc_28	1.396658787232501
forc_29	1.3851767428542803
forc_30	1.390647036775584
forc_31	1.4974440551795285
forc_32	1.4556470757161566
forc_33	1.4095276777762888
forc_34	1.491826026165663
forc_35	1.4242074715161046
forc_36	1.427397806561465
forc_37	1.4796504040041782
forc_38	1.4191953290331183
forc_39	1.4058507201881345
forc_40	1.4159034701709547
forc_41	1.42831518602681
forc_42	1.4449854782401748
forc_43	1.4061095568164235
forc_44	1.4508952207865418
forc_45	1.4231301757128367
forc_46	1.4122611166057923
forc_47	1.3635214362081625
forc_48	1.457790269865763
forc_49	1.4357730869806096
forc_50	1.4387681474843992
forc_51	1.3853997740699082
forc_52	1.467098065228294
forc_53	1.450568429841948
forc_54	1.454103572891782
forc_55	1.4126549737333258
forc_56	1.4306238139444616
forc_57	1.4291775323867497
forc_58	1.4836002771546504
forc_59	1.3981948153607953
forc_60	1.4431946594016631
forc_61	1.4080953245729804
forc_62	1.4289299102368855
forc_63	1.4502791792156309
forc_64	1.4094517181784032
forc_65	1.4236982232767108
forc_66	1.427966324019079
forc_67	1.4610096902185044
forc_68	1.423627600342512
forc_69	1.4428019264294334
forc_70	1.4292695124288604
forc_71	1.4218304520656546
forc_72	1.453087509258567
forc_73	1.4519904208751075
forc_74	1.4558292069810306
forc_75	1.4381407242402005
forc_76	1.4218329199363688
forc_77	1.4242209015915368
forc_78	1.4220422016524314
forc_79	1.4107506626033355
forc_80	1.400627881318156
forc_81	1.4264427484421076
forc_82	1.4266722831843945
forc_83	1.4203977933434255
forc_84	1.4245127131926556
forc_85	1.3850397378401844
forc_86	1.3799981086956914
forc_87	1.4024659666371755
forc_88	1.4232455537721524
forc_89	1.4166029627629948
forc_90	1.4230687840436096
forc_91	1.4533791989963685
forc_92	1.4725109855342928
forc_93	1.454939691648481
forc_94	1.454513757874567
forc_95	1.4437202583370083
forc_96	1.4333116021027823
forc_97	1.4240287438226673
forc_98	1.4711156382545327
forc_99	1.4250713768275187
forc_100	1.4340897394022412
forc_101	1.40892234763022
forc_102	1.4194373917081213
forc_103	1.4333182123660673
forc_104	1.4360327338138485
forc_105	1.4296196884714392
forc_106	1.4974455163874407
forc_107	1.4552066725881132
forc_108	1.430256388275162
forc_109	1.44763420530447
forc_110	1.4313888303681048
forc_111	1.443506813071579
forc_112	1.47528642604507
forc_113	1.398781986810108
forc_114	1.4185033389261157
forc_115	1.4468600219840144
forc_116	1.4463572865514962
forc_117	1.4580618316159495
forc_118	1.4020952588035622
forc_119	1.4294377532290217
forc_120	1.4446159480518033
forc_121	1.4608333070434891
forc_122	1.3796373828760267
forc_123	1.426132799513294
forc_124	1.4054783069837327
forc_125	1.4224200671058644
forc_126	1.3736861057430945
forc_127	1.4269092234933003
forc_128	1.4293328784128645
forc_129	1.3840110924993905
forc_130	1.3633095906301806
forc_131	1.4183692524736415
forc_132	1.4344869238321527
forc_133	1.4433671307464682
forc_134	1.4129615043648553
forc_135	1.4695757287714508
forc_136	1.4525212787999398
forc_137	1.4453407536169516
forc_138	1.4139879182904187
forc_139	1.4199954737480953
forc_140	1.3904227544702175
forc_141	1.4498234982485216
forc_142	1.438620148436486
forc_143	1.4193484955132853
forc_144	1.4109990280371791
forc_145	1.4215078011335132
forc_146	1.4838154238942831
forc_147	1.4674470056430022
forc_148	1.4096437543302847
forc_149	1.457281474647882
forc_150	1.4791726699506746
forc_151	1.4340822256205765
forc_152	1.488134521736161
forc_153	1.429017297524873
forc_154	1.4525793772956421
forc_155	1.4035023466279655
forc_156	1.3744946872228163
forc_157	1.3996719286278967
forc_158	1.4237317649021017
forc_159	1.3979435943431548
forc_160	1.4207129554731328
forc_161	1.4261922042444142
forc_162	1.444128332385359
forc_163	1.4111317774633583
forc_164	1.4830216211742078
forc_165	1.4700204251077145
